scenario_key	surface	head_avg_local_instructions	current_avg_local_instructions	delta_local_instructions	delta_pct	sql
generated.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.asc	GeneratedDispatch	1464912	1464189	-723	-0.04935450047511387	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.desc	GeneratedDispatch	1522761	1525091	2330	0.1530115362817934	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_key_only_direct_starts_with_tier_limit2.asc	GeneratedDispatch	1485612	1488288	2676	0.18012778572063232	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_key_only_order_only_tier_limit2.asc	GeneratedDispatch	1033296	1035098	1802	0.1743933974388752	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_key_only_order_only_tier_limit2.desc	GeneratedDispatch	1093107	1094713	1606	0.14692065827041634	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_key_only_strict_range_tier_limit2.asc	GeneratedDispatch	1650857	1655146	4289	0.25980445308103606	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.asc	GeneratedDispatch	1258234	1259708	1474	0.11714832058265792	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.desc	GeneratedDispatch	1318748	1317538	-1210	-0.09175369365489085	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_like_handle_limit2.asc	GeneratedDispatch	1463013	1464370	1357	0.09275378961089205	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_like_handle_limit2.desc	GeneratedDispatch	1523851	1524706	855	0.056107847814517296	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.asc	GeneratedDispatch	1623251	1627912	4661	0.287139820027833	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.desc	GeneratedDispatch	1648260	1650582	2322	0.14087583269629791	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_order_only_handle_limit2.asc	GeneratedDispatch	935703	937954	2251	0.2405677870007898	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY handle ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_order_only_handle_limit2.desc	GeneratedDispatch	1009435	1010835	1400	0.1386914462050553	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY handle DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_strict_like_handle_limit2.asc	GeneratedDispatch	1060552	1065513	4961	0.4677752717452798	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND handle LIKE 'br%' ORDER BY handle ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_strict_like_handle_limit2.desc	GeneratedDispatch	1058740	1063771	5031	0.47518748701286434	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND handle LIKE 'br%' ORDER BY handle DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_strict_range_handle_limit2.asc	GeneratedDispatch	1233455	1239123	5668	0.4595222363199306	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND handle >= 'br' AND handle < 'bs' ORDER BY handle ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_strict_range_handle_limit2.desc	GeneratedDispatch	1231655	1237393	5738	0.4658772139925547	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND handle >= 'br' AND handle < 'bs' ORDER BY handle DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_direct_starts_with_name_limit1.asc	GeneratedDispatch	775195	779406	4211	0.543218158011855	SELECT id, name FROM CustomerAccount WHERE active = true AND STARTS_WITH(name, 'br') ORDER BY name ASC, id ASC LIMIT 1
generated.dispatch.customer_account_filtered_direct_starts_with_name_limit1.desc	GeneratedDispatch	777587	781770	4183	0.5379462362410894	SELECT id, name FROM CustomerAccount WHERE active = true AND STARTS_WITH(name, 'br') ORDER BY name DESC, id DESC LIMIT 1
generated.dispatch.customer_account_filtered_order_only_name_limit2.asc	GeneratedDispatch	671462	671903	441	0.06567758115872528	SELECT id, name FROM CustomerAccount WHERE active = true ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_order_only_name_limit2.desc	GeneratedDispatch	676066	676500	434	0.06419491588099387	SELECT id, name FROM CustomerAccount WHERE active = true ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_strict_like_name_limit1.asc	GeneratedDispatch	771849	776060	4211	0.5455730330673486	SELECT id, name FROM CustomerAccount WHERE active = true AND name LIKE 'br%' ORDER BY name ASC, id ASC LIMIT 1
generated.dispatch.customer_account_filtered_strict_like_name_limit1.desc	GeneratedDispatch	774305	778488	4183	0.540226396574993	SELECT id, name FROM CustomerAccount WHERE active = true AND name LIKE 'br%' ORDER BY name DESC, id DESC LIMIT 1
generated.dispatch.customer_account_filtered_strict_range_name_limit1.asc	GeneratedDispatch	942565	947463	4898	0.5196458599672171	SELECT id, name FROM CustomerAccount WHERE active = true AND name >= 'br' AND name < 'bs' ORDER BY name ASC, id ASC LIMIT 1
generated.dispatch.customer_account_filtered_strict_range_name_limit1.desc	GeneratedDispatch	945038	949908	4870	0.5153231933530715	SELECT id, name FROM CustomerAccount WHERE active = true AND name >= 'br' AND name < 'bs' ORDER BY name DESC, id DESC LIMIT 1
generated.dispatch.customer_order_direct_starts_with_name_limit2.asc	GeneratedDispatch	591328	595086	3758	0.6355186968991828	SELECT id, name FROM CustomerOrder WHERE STARTS_WITH(name, 'A') ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_order_direct_starts_with_name_limit2.desc	GeneratedDispatch	593435	597235	3800	0.6403397170709513	SELECT id, name FROM CustomerOrder WHERE STARTS_WITH(name, 'A') ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.customer_order_numeric_equality.priority_eq20_status_id_limit2.asc	GeneratedDispatch	669416	671235	1819	0.27172938800387203	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 ORDER BY status ASC, id ASC LIMIT 2
generated.dispatch.customer_order_numeric_equality.priority_eq20_status_id_limit2.desc	GeneratedDispatch	874678	874227	-451	-0.05156183189699524	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 ORDER BY status DESC, id DESC LIMIT 2
generated.dispatch.customer_order_numeric_equality_bounded_status.priority_eq20_status_bd_limit2.asc	GeneratedDispatch	1159264	1162996	3732	0.3219283959477738	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 AND status >= 'B' AND status < 'D' ORDER BY status ASC, id ASC LIMIT 2
generated.dispatch.customer_order_numeric_equality_bounded_status.priority_eq20_status_bd_limit2.desc	GeneratedDispatch	1163668	1167289	3621	0.31117122753225146	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 AND status >= 'B' AND status < 'D' ORDER BY status DESC, id DESC LIMIT 2
generated.dispatch.customer_order_order_only_composite.priority_status_id_limit2.asc	GeneratedDispatch	660577	661576	999	0.15123142343738882	SELECT id, priority, status FROM CustomerOrder ORDER BY priority ASC, status ASC, id ASC LIMIT 2
generated.dispatch.customer_order_order_only_composite.priority_status_id_limit2.desc	GeneratedDispatch	664033	664801	768	0.1156569025936964	SELECT id, priority, status FROM CustomerOrder ORDER BY priority DESC, status DESC, id DESC LIMIT 2
generated.dispatch.customer_order_strict_like_name_limit2.asc	GeneratedDispatch	589550	593308	3758	0.6374353320329065	SELECT id, name FROM CustomerOrder WHERE name LIKE 'A%' ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_order_strict_like_name_limit2.desc	GeneratedDispatch	591657	595457	3800	0.6422640144543207	SELECT id, name FROM CustomerOrder WHERE name LIKE 'A%' ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.customer_order_strict_range_name_limit2.asc	GeneratedDispatch	718678	723627	4949	0.6886255040504927	SELECT id, name FROM CustomerOrder WHERE name >= 'A' AND name < 'B' ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_order_strict_range_name_limit2.desc	GeneratedDispatch	720785	725776	4991	0.6924394930527134	SELECT id, name FROM CustomerOrder WHERE name >= 'A' AND name < 'B' ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.delete	GeneratedDispatch	6780542	6774760	-5782	-0.08527341914554913	DELETE FROM Customer ORDER BY id LIMIT 1
generated.dispatch.describe.user	GeneratedDispatch	36770	38123	1353	3.6796301332608103	DESCRIBE Customer
generated.dispatch.explain.aggregate.user_count	GeneratedDispatch	113820	115634	1814	1.5937445088736604	EXPLAIN SELECT COUNT(*) FROM Customer
generated.dispatch.explain.grouped.user_age_count	GeneratedDispatch	219176	220953	1777	0.8107639522575464	EXPLAIN SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 10
generated.dispatch.explain.user_name_eq_limit	GeneratedDispatch	247298	248812	1514	0.612216839602423	EXPLAIN SELECT id, name FROM Customer WHERE name = 'alice' ORDER BY id LIMIT 1
generated.dispatch.explain_delete	GeneratedDispatch	131293	133065	1772	1.349653066043125	EXPLAIN DELETE FROM Customer ORDER BY id LIMIT 1
generated.dispatch.predicate.lower_starts_with_name_limit2	GeneratedDispatch	1827262	1839039	11777	0.644516221538017	SELECT id, name FROM Customer WHERE STARTS_WITH(LOWER(name), 'a') ORDER BY id LIMIT 2
generated.dispatch.predicate.lower_strict_range_name_limit2	GeneratedDispatch	1213868	1230023	16155	1.3308695838427242	SELECT id, name FROM Customer WHERE LOWER(name) >= 'a' AND LOWER(name) < 'b' ORDER BY id LIMIT 2
generated.dispatch.predicate.starts_with_name_limit2	GeneratedDispatch	997785	1012574	14789	1.4821830354234629	SELECT id, name FROM Customer WHERE STARTS_WITH(name, 'a') ORDER BY id LIMIT 2
generated.dispatch.predicate.upper_starts_with_name_limit2	GeneratedDispatch	1827294	1839071	11777	0.6445049346191691	SELECT id, name FROM Customer WHERE STARTS_WITH(UPPER(name), 'A') ORDER BY id LIMIT 2
generated.dispatch.predicate.upper_strict_range_name_limit2	GeneratedDispatch	1213932	1230087	16155	1.3307994187483319	SELECT id, name FROM Customer WHERE UPPER(name) >= 'A' AND UPPER(name) < 'B' ORDER BY id LIMIT 2
generated.dispatch.primary_key_covering.user_id_limit1	GeneratedDispatch	359857	360542	685	0.19035339037450988	SELECT id FROM Customer ORDER BY id ASC LIMIT 1
generated.dispatch.projection.user_name_eq_limit	GeneratedDispatch	594291	596155	1864	0.3136510564689689	SELECT id, name FROM Customer WHERE name = 'alice' ORDER BY id LIMIT 1
generated.dispatch.projection.user_name_eq_limit.desc	GeneratedDispatch	661084	662818	1734	0.2622964706451828	SELECT id, name FROM Customer WHERE name = 'alice' ORDER BY id DESC LIMIT 1
generated.dispatch.secondary_covering.user_name_order_only_limit2.asc	GeneratedDispatch	501831	502726	895	0.17834689367536083	SELECT id, name FROM Customer ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.secondary_covering.user_name_order_only_limit2.desc	GeneratedDispatch	512121	512813	692	0.13512431632368133	SELECT id, name FROM Customer ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.secondary_covering.user_name_strict_range_limit2.asc	GeneratedDispatch	826673	830406	3733	0.4515691210430242	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.secondary_covering.user_name_strict_range_limit2.desc	GeneratedDispatch	827235	830870	3635	0.4394156436804536	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.show_columns.user	GeneratedDispatch	44906	46259	1353	3.012960406181802	SHOW COLUMNS Customer
generated.dispatch.show_entities	GeneratedDispatch	23818	25171	1353	5.680577714333697	SHOW ENTITIES
generated.dispatch.show_indexes.user	GeneratedDispatch	41419	42774	1355	3.271445471884884	SHOW INDEXES Customer
generated.dispatch.user_expression_order.lower_name_id_limit2.asc	GeneratedDispatch	773208	770514	-2694	-0.348418536797343	SELECT id, name FROM Customer ORDER BY LOWER(name) ASC, id ASC LIMIT 2
generated.dispatch.user_expression_order.lower_name_id_limit2.desc	GeneratedDispatch	743884	743187	-697	-0.09369740443402466	SELECT id, name FROM Customer ORDER BY LOWER(name) DESC, id DESC LIMIT 2
typed.dispatch.computed_projection.lower_name_limit2	TypedDispatchCustomer	547103	546694	-409	-0.07475740399888138	SELECT LOWER(name) FROM Customer ORDER BY id LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.asc	TypedDispatchCustomerAccount	1441685	1444332	2647	0.18360460155998015	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.desc	TypedDispatchCustomerAccount	1502984	1505052	2068	0.13759294842792738	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_key_only_direct_starts_with_tier_limit2.asc	TypedDispatchCustomerAccount	1447841	1450340	2499	0.17260182575296595	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_key_only_order_only_tier_limit2.asc	TypedDispatchCustomerAccount	1016571	1018372	1801	0.1771642118455081	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_key_only_order_only_tier_limit2.desc	TypedDispatchCustomerAccount	1070459	1072048	1589	0.14844099587186432	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_key_only_strict_range_tier_limit2.asc	TypedDispatchCustomerAccount	1606415	1610160	3745	0.23312780321398893	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.asc	TypedDispatchCustomerAccount	1243190	1242236	-954	-0.07673806899991152	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.desc	TypedDispatchCustomerAccount	1303021	1302601	-420	-0.032232788266651116	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.asc	TypedDispatchCustomerAccount	1599937	1606128	6191	0.3869527362639904	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.desc	TypedDispatchCustomerAccount	1624539	1628789	4250	0.2616126790431008	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_order_only_handle_limit2.asc	TypedDispatchCustomerAccount	940504	942858	2354	0.25029133315754104	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY handle ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_order_only_handle_limit2.desc	TypedDispatchCustomerAccount	1010235	1011960	1725	0.17075234970081218	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY handle DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_order_only_name_limit2.asc	TypedDispatchCustomerAccount	674171	674715	544	0.08069169394708464	SELECT id, name FROM CustomerAccount WHERE active = true ORDER BY name ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_order_only_name_limit2.desc	TypedDispatchCustomerAccount	678579	679116	537	0.07913595911456146	SELECT id, name FROM CustomerAccount WHERE active = true ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.customer_order_numeric_equality.priority_eq20_status_id_limit2.asc	TypedDispatchCustomerOrder	671179	673167	1988	0.2961952027700509	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 ORDER BY status ASC, id ASC LIMIT 2
typed.dispatch.customer_order_numeric_equality.priority_eq20_status_id_limit2.desc	TypedDispatchCustomerOrder	857846	858116	270	0.03147418068044847	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 ORDER BY status DESC, id DESC LIMIT 2
typed.dispatch.customer_order_numeric_equality_bounded_status.priority_eq20_status_bd_limit2.asc	TypedDispatchCustomerOrder	1141565	1146018	4453	0.390078532540854	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 AND status >= 'B' AND status < 'D' ORDER BY status ASC, id ASC LIMIT 2
typed.dispatch.customer_order_numeric_equality_bounded_status.priority_eq20_status_bd_limit2.desc	TypedDispatchCustomerOrder	1145242	1149584	4342	0.3791338424542586	SELECT id, priority, status FROM CustomerOrder WHERE priority = 20 AND status >= 'B' AND status < 'D' ORDER BY status DESC, id DESC LIMIT 2
typed.dispatch.customer_order_order_only_composite.priority_status_id_limit2.asc	TypedDispatchCustomerOrder	663452	664512	1060	0.15977041293115404	SELECT id, priority, status FROM CustomerOrder ORDER BY priority ASC, status ASC, id ASC LIMIT 2
typed.dispatch.customer_order_order_only_composite.priority_status_id_limit2.desc	TypedDispatchCustomerOrder	665638	666467	829	0.12454216856609748	SELECT id, priority, status FROM CustomerOrder ORDER BY priority DESC, status DESC, id DESC LIMIT 2
typed.dispatch.delete	TypedDispatchCustomer	6803088	6797361	-5727	-0.08418235954025584	DELETE FROM Customer ORDER BY id LIMIT 1
typed.dispatch.predicate.lower_starts_with_name_limit2	TypedDispatchCustomer	1828021	1838961	10940	0.5984613962312249	SELECT id, name FROM Customer WHERE STARTS_WITH(LOWER(name), 'a') ORDER BY id LIMIT 2
typed.dispatch.predicate.lower_strict_range_name_limit2	TypedDispatchCustomer	1213939	1228897	14958	1.2321871197811423	SELECT id, name FROM Customer WHERE LOWER(name) >= 'a' AND LOWER(name) < 'b' ORDER BY id LIMIT 2
typed.dispatch.predicate.starts_with_name_limit2	TypedDispatchCustomer	996821	1011554	14733	1.477998557414019	SELECT id, name FROM Customer WHERE STARTS_WITH(name, 'a') ORDER BY id LIMIT 2
typed.dispatch.predicate.upper_starts_with_name_limit2	TypedDispatchCustomer	1828053	1838993	10940	0.5984509201866686	SELECT id, name FROM Customer WHERE STARTS_WITH(UPPER(name), 'A') ORDER BY id LIMIT 2
typed.dispatch.predicate.upper_strict_range_name_limit2	TypedDispatchCustomer	1214003	1228961	14958	1.232122161147872	SELECT id, name FROM Customer WHERE UPPER(name) >= 'A' AND UPPER(name) < 'B' ORDER BY id LIMIT 2
typed.dispatch.primary_key_covering.user_id_limit1	TypedDispatchCustomer	353223	353965	742	0.21006559595496327	SELECT id FROM Customer ORDER BY id ASC LIMIT 1
typed.dispatch.projection.user_name_eq_limit	TypedDispatchCustomer	581529	583450	1921	0.3303360623459879	SELECT id, name FROM Customer WHERE name = 'alice' ORDER BY id LIMIT 1
typed.dispatch.projection.user_name_eq_limit.desc	TypedDispatchCustomer	643721	645500	1779	0.2763619642671281	SELECT id, name FROM Customer WHERE name = 'alice' ORDER BY id DESC LIMIT 1
typed.dispatch.secondary_covering.user_name_order_only_limit2.asc	TypedDispatchCustomer	505652	506704	1052	0.20804822288846875	SELECT id, name FROM Customer ORDER BY name ASC, id ASC LIMIT 2
typed.dispatch.secondary_covering.user_name_order_only_limit2.desc	TypedDispatchCustomer	515756	516605	849	0.16461272384615983	SELECT id, name FROM Customer ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.secondary_covering.user_name_strict_range_limit2.asc	TypedDispatchCustomer	822803	827025	4222	0.5131240406269787	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name ASC, id ASC LIMIT 2
typed.dispatch.secondary_covering.user_name_strict_range_limit2.desc	TypedDispatchCustomer	822875	826999	4124	0.5011696794774418	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.user_expression_order.lower_name_id_limit2.asc	TypedDispatchCustomer	772214	769722	-2492	-0.3227084720038746	SELECT id, name FROM Customer ORDER BY LOWER(name) ASC, id ASC LIMIT 2
typed.dispatch.user_expression_order.lower_name_id_limit2.desc	TypedDispatchCustomer	743214	742612	-602	-0.08099955060049999	SELECT id, name FROM Customer ORDER BY LOWER(name) DESC, id DESC LIMIT 2
typed.execute_sql.scalar_limit	TypedExecuteSqlCustomer	591882	593356	1474	0.24903612544392295	SELECT * FROM Customer ORDER BY id LIMIT 2
typed.execute_sql_aggregate.user_avg_age	TypedExecuteSqlAggregateCustomer	5917163	5913430	-3733	-0.06308766549104698	SELECT AVG(age) FROM Customer
typed.execute_sql_aggregate.user_count	TypedExecuteSqlAggregateCustomer	510289	512080	1791	0.35097758329103707	SELECT COUNT(*) FROM Customer
typed.execute_sql_aggregate.user_count_age	TypedExecuteSqlAggregateCustomer	5884131	5880372	-3759	-0.06388368987706086	SELECT COUNT(age) FROM Customer
typed.execute_sql_aggregate.user_max_age	TypedExecuteSqlAggregateCustomer	8136784	8147210	10426	0.12813416209647446	SELECT MAX(age) FROM Customer
typed.execute_sql_aggregate.user_min_age	TypedExecuteSqlAggregateCustomer	8147422	8157848	10426	0.12796685871923658	SELECT MIN(age) FROM Customer
typed.execute_sql_aggregate.user_sum_age	TypedExecuteSqlAggregateCustomer	5909607	5905864	-3743	-0.06333754511932858	SELECT SUM(age) FROM Customer
typed.execute_sql_grouped.user_age_count	TypedExecuteSqlGroupedCustomer	6543638	6572364	28726	0.43899127671793586	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 10
typed.execute_sql_grouped.user_age_count.filtered	TypedExecuteSqlGroupedCustomer	6386826	6408291	21465	0.3360824296763369	SELECT age, COUNT(*) FROM Customer WHERE age >= 36 GROUP BY age ORDER BY age ASC LIMIT 10
typed.execute_sql_grouped.user_age_count.having_empty	TypedExecuteSqlGroupedCustomer	6594341	6541192	-53149	-0.8059789446739258	SELECT age, COUNT(*) FROM Customer GROUP BY age HAVING COUNT(*) > 1000 ORDER BY age ASC LIMIT 10
