 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         634925 ┊     26.76% ┊ export "canister_query query_ten_simple_fluent"
             53 ┊      0.00% ┊                       ⤷ code[3861]
             15 ┊      0.00% ┊                       ⤷ code[5438]
            777 ┊      0.03% ┊                   ⤷ code[515]
            735 ┊      0.03% ┊                   ⤷ code[540]
            244 ┊      0.01% ┊                   ⤷ code[2152]
             98 ┊      0.00% ┊                       ⤷ code[2649]
            154 ┊      0.01% ┊                   ⤷ code[2142]
            139 ┊      0.01% ┊                   ⤷ code[2209]
             30 ┊      0.00% ┊                   ⤷ code[4816]
         177496 ┊      7.48% ┊ [2 Unreachable Items]
