scenario_key	family	runs	baseline	current	delta	delta_pct	compile_delta	execute_delta	sql
user.name.not_like_prefix.limit3	negated_prefix_like	1	649369	649250	-119	-0.018325482121875236	39	-158	SELECT id, name FROM PerfAuditUser WHERE name NOT LIKE 'A%' ORDER BY id ASC LIMIT 3
user.name.lower.order_only.asc.limit3	expression_order_only	1	624304	625408	1104	0.17683692560034855	804	300	SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 3
user.name.lower.covering_key_only.asc.limit3	expression_covering_order_only	1	488578	489790	1212	0.2480668388670796	809	403	SELECT id FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 3
user.name.lower.materialized_rank.asc.limit3	expression_materialized_order_only	1	621576	622680	1104	0.17761303525232633	804	300	SELECT id, rank FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 3
user.name.lower.order_only.desc.limit3	expression_order_only	1	613317	614421	1104	0.1800047936059167	804	300	SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) DESC, id DESC LIMIT 3
user.name.lower.range.limit3	expression_ordered_range	1	1611675	1615153	3478	0.21580033195278203	2227	1251	SELECT id, name FROM PerfAuditUser WHERE LOWER(name) >= 'a' AND LOWER(name) < 'c' ORDER BY LOWER(name) ASC, id ASC LIMIT 3
user.name.lower.like_prefix.limit3	expression_casefold_prefix	1	904495	906391	1896	0.20961973255794672	1468	428	SELECT id, name FROM PerfAuditUser WHERE LOWER(name) LIKE 'a%' ORDER BY LOWER(name) ASC, id ASC LIMIT 3
user.name.lower.not_like_prefix.limit3	expression_negated_casefold_prefix	1	744961	745824	863	0.1158449905431291	761	102	SELECT id, name FROM PerfAuditUser WHERE LOWER(name) NOT LIKE 'a%' ORDER BY id ASC LIMIT 3
user.age.plus_one.alias_order.asc.limit3	computed_alias_order	1	774421	778164	3743	0.48332883534924803	168	3575	SELECT id, age + 1 AS next_age FROM PerfAuditUser ORDER BY next_age ASC, id ASC LIMIT 3
user.age_plus_rank.alias_order.asc.limit3	computed_alias_order	1	780448	786017	5569	0.7135645167903563	149	5420	SELECT id, age + rank AS total FROM PerfAuditUser ORDER BY total ASC, id ASC LIMIT 3
user.age_plus_rank.direct_order.asc.limit3	computed_order	1	785174	790720	5546	0.706340250696024	126	5420	SELECT id, age + rank FROM PerfAuditUser ORDER BY age + rank ASC, id ASC LIMIT 3
user.age_div3_round.direct_order.desc.limit3	computed_round_order	1	846565	833742	-12823	-1.514709443456793	179	-13002	SELECT id, age FROM PerfAuditUser ORDER BY ROUND(age / 3, 2) DESC, id DESC LIMIT 3
user.name.ilike_prefix.limit3	casefold_prefix	1	799427	800298	871	0.10895303761319046	31	840	SELECT id, name FROM PerfAuditUser WHERE name ILIKE 'a%' ORDER BY id ASC LIMIT 3
user.name.not_ilike_prefix.limit3	negated_casefold_prefix	1	727732	727867	135	0.01855078517915936	33	102	SELECT id, name FROM PerfAuditUser WHERE name NOT ILIKE 'a%' ORDER BY id ASC LIMIT 3
user.active.is_true.order_id.limit4	bool_predicate	1	625860	625950	90	0.014380212827149842	148	-58	SELECT id, active FROM PerfAuditUser WHERE active IS TRUE ORDER BY id ASC LIMIT 4
user.active.is_not_true.order_id.limit4	bool_predicate	1	651239	651560	321	0.04929065980385081	156	165	SELECT id, active FROM PerfAuditUser WHERE active IS NOT TRUE ORDER BY id ASC LIMIT 4
user.field_compare.age_gt_rank.limit3	field_compare	1	717828	718871	1043	0.1452994310614799	103	940	SELECT id, name FROM PerfAuditUser WHERE age > rank ORDER BY age ASC, id ASC LIMIT 3
user.field_compare.age_eq_age_nat.limit3	mixed_field_compare	1	721003	722002	999	0.13855698242587064	120	879	SELECT id, name FROM PerfAuditUser WHERE age = age_nat ORDER BY age ASC, id ASC LIMIT 3
user.field_compare.age_eq_rank.limit3	field_compare	1	694310	695657	1347	0.1940055594763146	103	1244	SELECT id, name FROM PerfAuditUser WHERE age = rank ORDER BY age ASC, id ASC LIMIT 3
user.age.in.limit3	in_membership	1	1081191	1080966	-225	-0.020810384104196205	101	-326	SELECT id, age FROM PerfAuditUser WHERE age IN (24, 31, 43) ORDER BY age ASC, id ASC LIMIT 3
user.age.not_in.limit3	not_in_membership	1	1048087	1048180	93	0.008873309181394291	101	-8	SELECT id, age FROM PerfAuditUser WHERE age NOT IN (24, 31, 43) ORDER BY id ASC LIMIT 3
user.field_between.rank_age_age.limit3	field_between	1	971794	973855	2061	0.21208198445349527	121	1940	SELECT id, name FROM PerfAuditUser WHERE rank BETWEEN age AND age ORDER BY age ASC, id ASC LIMIT 3
user.field_not_between.rank_age_age.limit3	field_not_between	1	890397	891565	1168	0.13117744107403775	121	1047	SELECT id, name FROM PerfAuditUser WHERE rank NOT BETWEEN age AND age ORDER BY id ASC LIMIT 3
user.count.active_true	count	1	783994	787174	3180	0.40561534909705943	-432	3612	SELECT COUNT(*) FROM PerfAuditUser WHERE active = true
user.grouped.age_count.limit10	grouped_count	1	720962	720324	-638	-0.08849287479783956	190	-828	SELECT age, COUNT(*) FROM PerfAuditUser GROUP BY age ORDER BY age ASC LIMIT 10
user.grouped.case_sum.having_alias.order.limit5.cold_query	parity_cold_query	1	1528565	1588451	59886	3.9177921776306532	-1775	61661	SELECT age, SUM(CASE WHEN age > 30 THEN 1 ELSE 0 END) AS high_count FROM PerfAuditUser GROUP BY age HAVING high_count > 0 ORDER BY high_count DESC, age ASC LIMIT 5
user.grouped.case_sum.having_alias.order.limit5.warm_after_update	parity_warm_after_update	1	730830	734949	4119	0.563605763310209	0	4119	SELECT age, SUM(CASE WHEN age > 30 THEN 1 ELSE 0 END) AS high_count FROM PerfAuditUser GROUP BY age HAVING high_count > 0 ORDER BY high_count DESC, age ASC LIMIT 5
user.explain.lower.order.limit1	explain	1	565604	539936	-25668	-4.538157438773418	809	-26477	EXPLAIN SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 1
user.explain_execution.lower.order.limit1	explain_execution	1	793543	770317	-23226	-2.926873527962568	823	-24049	EXPLAIN EXECUTION SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 1
user.explain_json.lower.order.limit1	explain_json	1	615761	589546	-26215	-4.2573336083318045	818	-27033	EXPLAIN JSON SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 1
user.describe	describe	1	40149	40196	47	0.11706393683528855	47	0	DESCRIBE PerfAuditUser
user.show_indexes	show_indexes	1	37320	37376	56	0.15005359056806003	56	0	SHOW INDEXES PerfAuditUser
user.show_columns	show_columns	1	34467	34523	56	0.1624742507325848	56	0	SHOW COLUMNS PerfAuditUser
user.show_tables	show_tables	1	22624	22662	38	0.16796322489391793	38	0	SHOW TABLES
account.active.order_handle.asc.limit3	guarded_order_only	1	541010	541224	214	0.03955564592151716	125	89	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY handle ASC, id ASC LIMIT 3
account.active.order_handle.asc.limit2.offset1	guarded_order_offset	1	540277	540500	223	0.041275123686553374	134	89	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY handle ASC, id ASC LIMIT 2 OFFSET 1
account.active.order_handle.desc.limit3	guarded_order_only	1	541082	541296	214	0.03955038238196798	125	89	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY handle DESC, id DESC LIMIT 3
account.active.ilike_br.limit3	guarded_casefold_prefix	1	1067043	1067973	930	0.08715675000913739	59	871	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND handle ILIKE 'br%' ORDER BY id ASC LIMIT 3
account.active.not_ilike_br.limit3	guarded_negated_casefold_prefix	1	1025691	1026792	1101	0.10734226974790653	61	1040	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND handle NOT ILIKE 'br%' ORDER BY id ASC LIMIT 3
account.active.handle_prefix.limit3	guarded_prefix	1	950778	951259	481	0.050590148278567657	72	409	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND handle LIKE 'br%' ORDER BY handle ASC, id ASC LIMIT 3
account.active.lower.order_handle.asc.limit3	guarded_expression_order_only	1	703116	704084	968	0.13767287332388967	824	144	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY LOWER(handle) ASC, id ASC LIMIT 3
