module	file	function	start_line	end_line	logical_lines	branch_layers	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	plan_index_mutation_for_entity	137	250	101	5	2	4	2.00	6	3	2
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	plan_predicate	17	85	64	5	1	5	5.00	5	4	2
db::index::scan	crates/icydb-core/src/db/index/scan.rs	resolve_raw_range_limited	73	135	56	5	1	2	2.00	4	4	2
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	infer_binary_expr_type	187	245	53	5	1	4	4.00	4	4	2
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	verify_aggregate_fast_path_eligibility	114	165	52	5	1	5	5.00	4	4	2
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	index_prefix_from_and	95	151	52	5	1	2	2.00	4	4	2
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	next_key	228	276	44	5	1	4	4.00	4	4	2
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	validate_map_ops	159	206	44	5	1	2	2.00	4	4	2
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	range_candidate_prefix_score	833	873	35	5	0	0	0.00	5	5	2
db::commit::store	crates/icydb-core/src/db/commit/store.rs	decode_commit_control_slot	99	136	34	5	1	3	3.00	4	4	2
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	apply_scalar_distinct_flag	283	320	34	5	1	2	2.00	5	4	2
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	simplify_constraint_constraint_pair	139	173	33	5	1	6	6.00	4	4	2
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	covering_projection_order_contract	142	176	31	5	2	4	2.00	3	3	2
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_field_predicate	1043	1078	27	5	0	0	0.00	6	5	2
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_sql	231	259	23	5	0	0	0.00	5	5	2
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	ingest_grouped_rows_into_engines	30	104	70	5	2	5	2.50	4	3	1
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	validate_grouped_projection_layout	9	65	55	5	0	0	0.00	5	5	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_multi_lookup_candidate	604	658	52	5	0	0	0.00	5	5	1
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	run_key_stream_reducer	232	284	47	5	3	8	2.67	2	2	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	match_eq_constraint_value_for_key_item	560	603	38	5	0	0	0.00	5	5	1
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	global_distinct_field_aggregate_admissibility	167	203	35	5	0	0	0.00	5	5	1
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	lower_global_aggregate_select	203	242	34	5	0	0	0.00	5	5	1
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_projection	872	908	30	5	0	0	0.00	5	5	1
value::hash	crates/icydb-core/src/value/hash.rs	write_to_hasher	96	217	117	4	4	27	6.75	0	0	3
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	build_commit_ops_for_index	26	115	81	4	1	3	3.00	5	3	3
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	next_key	61	88	25	4	0	0	0.00	4	4	3
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	assemble_load_execution_node_descriptor	44	149	98	4	1	3	3.00	4	3	2
value::storage_key	crates/icydb-core/src/value/storage_key.rs	try_from_bytes	292	369	74	4	1	9	9.00	3	3	2
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	scan_store_forward_integrity	770	842	64	4	3	7	2.33	2	1	2
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	index_range_from_and	70	130	57	4	1	3	3.00	3	3	2
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	build_logical_plan	101	157	54	4	2	4	2.00	2	2	2
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	read_index_keys_in_raw_range	148	197	44	4	0	0	0.00	4	4	2
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	range_limited	50	96	43	4	1	2	2.00	3	3	2
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	next_key	340	386	41	4	0	0	0.00	4	4	2
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	terminal_value_by_slot	181	221	39	4	1	3	3.00	3	3	2
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	apply_projection	346	390	38	4	1	2	2.00	3	3	2
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	apply_scalar_projection	391	427	32	4	2	4	2.00	2	2	2
types::decimal	crates/icydb-core/src/types/decimal.rs	checked_div_impl	246	271	21	4	0	0	0.00	4	4	2
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_sql_predicate	265	289	20	4	0	0	0.00	4	4	2
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	match_secondary_order_pushdown_core	15	93	75	4	0	0	0.00	4	4	1
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	execute_global_distinct_field_grouped_aggregate	53	105	51	4	0	0	0.00	4	4	1
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	aggregate_min_max_field_from_materialized	142	194	50	4	2	4	2.00	2	2	1
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	validate_commit_marker_shape	188	239	49	4	0	0	0.00	4	4	1
db::identity	crates/icydb-core/src/db/identity/mod.rs	try_from_parts	255	302	43	4	0	0	0.00	4	4	1
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	read_covering_projection_component_pairs	487	531	42	4	0	0	0.00	4	4	1
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	index_range_limit_pushdown_shape_supported_for_order	204	246	41	4	0	0	0.00	4	4	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_prefix_compare_candidate	437	474	36	4	0	0	0.00	4	4	1
db::access::validate	crates/icydb-core/src/db/access/validate.rs	validate_index_prefix	228	265	33	4	0	0	0.00	4	4	1
types::account	crates/icydb-core/src/types/account.rs	try_from_bytes	152	188	30	4	0	0	0.00	5	4	1
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	index_range_limited_residual_retry_required	170	199	29	4	0	0	0.00	4	4	1
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	read_segment	44	78	29	4	0	0	0.00	4	4	1
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	index_range_pushdown_predicate_text	845	875	28	4	2	6	3.00	2	2	1
db::identity	crates/icydb-core/src/db/identity/mod.rs	from_bytes	175	200	23	4	0	0	0.00	4	4	1
db::identity	crates/icydb-core/src/db/identity/mod.rs	from_bytes	328	353	23	4	0	0	0.00	4	4	1
types::decimal	crates/icydb-core/src/types/decimal.rs	split_decimal_significand	1114	1139	20	4	0	0	0.00	4	4	1
types::decimal	crates/icydb-core/src/types/decimal.rs	div_round_half_away_from_zero	1041	1063	19	4	0	0	0.00	4	4	1
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	collapse_normalized_composite	156	176	18	4	0	0	0.00	4	4	1
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_statement	696	716	18	4	0	0	0.00	4	4	1
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	parse_number_literal	1317	1336	17	4	0	0	0.00	4	4	1
db::session::sql	crates/icydb-core/src/db/session/sql.rs	execute_sql_aggregate	293	362	67	3	3	10	3.33	0	0	2
metrics::state	crates/icydb-core/src/metrics/state.rs	report_window_start	648	714	63	3	2	4	2.00	4	1	2
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	build_index_eq_prefix	165	232	62	3	1	2	2.00	2	2	2
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	bounds_for_prefix_with_kind	213	272	55	3	0	0	0.00	3	3	2
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	group_matches_having	22	71	48	3	2	4	2.00	1	1	2
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	validate_index_range_anchor	209	261	47	3	0	0	0.00	4	3	2
patch::merge::list	crates/icydb-core/src/patch/merge/list.rs	merge_vec	12	65	47	3	1	6	6.00	2	2	2
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	validate_decimal_scale	174	223	46	3	1	5	5.00	2	2	2
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	apply_map_ops	209	255	46	3	1	4	4.00	2	2	2
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	decode_covering_text	93	141	45	3	1	3	3.00	2	2	2
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	push_candidate	39	83	43	3	2	4	2.00	1	1	2
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	validate	44	86	42	3	1	9	9.00	2	2	2
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	aggregate_count	38	78	39	3	1	3	3.00	2	2	2
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	eval_index_program_on_decoded_key	170	211	39	3	1	6	6.00	2	2	2
value	crates/icydb-core/src/value/mod.rs	partial_cmp	850	888	37	3	2	22	11.00	1	1	2
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	collect_query_compare_clauses	206	243	36	3	1	5	5.00	2	2	2
db::schema::info	crates/icydb-core/src/db/schema/info.rs	validate_index_expression_reference	72	108	35	3	1	2	2.00	2	2	2
db::schema::info	crates/icydb-core/src/db/schema/info.rs	validate_index_fields	109	146	35	3	2	4	2.00	1	1	2
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	distinct_values_by_slot	99	135	34	3	0	0	0.00	4	3	2
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	query_compare_clauses	119	154	34	3	2	7	3.50	1	1	2
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	select_prefix_and_range	196	230	32	3	1	5	5.00	5	2	2
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	plan_pk_compare	129	163	31	3	1	3	3.00	2	2	2
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	resolve_existing_row_for_rule	298	331	30	3	1	3	3.00	2	2	2
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	infer_unary_expr_type	154	186	29	3	1	2	2.00	2	2	2
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	index_predicate_implied_by_query	65	95	29	3	2	5	2.50	1	1	2
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_prefix_len_for_key_items	530	559	28	3	3	8	2.67	0	0	2
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	aggregate_exists	81	109	27	3	1	1	1.00	2	2	2
db::query::plan::key_item_match	crates/icydb-core/src/db/query/plan/key_item_match.rs	eq_lookup_value_for_key_item	71	99	27	3	1	2	2.00	2	2	2
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	normalize_for_access	225	252	26	3	1	3	3.00	2	2	2
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	canonical_cmp_value_bound	464	489	25	3	1	6	6.00	2	2	2
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	normalize_enum_value	276	300	21	3	1	0	0.00	2	2	2
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	write_query_mode_json	768	789	21	3	3	6	2.00	0	0	2
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	merge_lower_bound	249	272	21	3	2	7	3.50	1	1	2
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	merge_upper_bound	273	296	21	3	2	7	3.50	1	1	2
db::error::planner	crates/icydb-core/src/db/error/planner.rs	from_group_plan_error	33	53	20	3	3	7	2.33	0	0	2
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	normalize_ordered_keys	140	159	20	3	1	3	3.00	2	2	2
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	validate_load_scan_budget_hint	364	383	19	3	0	0	0.00	3	3	2
db::query::intent::state	crates/icydb-core/src/db/query/intent/state.rs	ensure_grouped_mut	293	313	18	3	2	4	2.00	1	1	2
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	canonicalize_compare_literal_for_coercion	199	218	17	3	1	3	3.00	2	2	2
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	validate_index_prefix_spec_alignment	192	208	16	3	1	0	0.00	2	2	2
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	execute	115	215	91	3	0	0	0.00	3	3	1
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	validate_delete_strong_relations_for_source	28	122	83	3	0	0	0.00	3	3	1
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	execute_scalar_terminal_stage	322	405	77	3	2	2	1.00	1	1	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	require_one	22	94	59	3	2	6	3.00	1	1	1
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	finalize_grouped_page	25	85	57	3	1	2	2.00	3	2	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	require_some	25	94	57	3	2	6	3.00	1	1	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	try_row	28	94	55	3	2	6	3.00	1	1	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	row	31	94	53	3	2	6	3.00	1	1	1
db::schema::info	crates/icydb-core/src/db/schema/info.rs	from_entity_model	192	250	53	3	0	0	0.00	3	3	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	try_entity	34	94	51	3	2	6	3.00	1	1	1
db::index::scan	crates/icydb-core/src/db/index/scan.rs	decode_index_entry_and_push_with_component	206	261	49	3	0	0	0.00	3	3	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	entity	37	94	49	3	2	6	3.00	1	1	1
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	aggregate_field_extrema_from_materialized	36	85	47	3	1	2	2.00	2	2	1
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	require_id	40	94	47	3	2	6	3.00	1	1	1
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	simplify_and_compare_constraints	26	72	43	3	1	6	6.00	2	2	1
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	try_execute_primary_key_access_aggregate	254	296	41	3	0	0	0.00	3	3	1
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	try_from_raw	103	152	41	3	0	0	0.00	3	3	1
db::index::scan	crates/icydb-core/src/db/index/scan.rs	decode_index_entry_and_push	156	203	40	3	0	0	0.00	3	3	1
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	validate_monotonicity	92	131	37	3	0	0	0.00	3	3	1
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	validate_index_range_boundary_anchor_consistency	264	302	36	3	1	2	2.00	2	2	1
db::migration	crates/icydb-core/src/db/migration/mod.rs	load_durable_cursor_for_plan	401	440	36	3	0	0	0.00	3	3	1
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	lower_select	243	282	36	3	0	0	0.00	3	3	1
types::decimal	crates/icydb-core/src/types/decimal.rs	deserialize	587	627	36	3	1	2	2.00	2	2	1
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	admit_distinct_key	324	361	34	3	0	0	0.00	3	3	1
db::access::validate	crates/icydb-core/src/db/access/validate.rs	validate_index_multi_lookup	268	304	33	3	0	0	0.00	3	3	1
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	reduce_key_streams	231	263	31	3	0	0	0.00	3	3	1
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	validate_contains	173	206	31	3	1	2	2.00	2	2	1
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	simplify_eq_with_constraint_pair	102	132	30	3	1	5	5.00	2	2	1
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	plan_starts_with_compare	177	210	29	3	0	0	0.00	3	3	1
types::account	crates/icydb-core/src/types/account.rs	to_bytes	100	133	29	3	0	0	0.00	3	3	1
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	normalize_and	329	362	28	3	1	4	4.00	2	2	1
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	decode_cursor	58	92	27	3	0	0	0.00	3	3	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	collect_range_and_compares	754	783	27	3	0	0	0.00	3	3	1
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	compile_index_program_and_subset	65	92	26	3	3	8	2.67	0	0	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	chosen_selection_reason	874	903	26	3	0	0	0.00	3	3	1
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	annotate_access_root_node_properties	341	365	24	3	0	0	0.00	3	3	1
db::identity	crates/icydb-core/src/db/identity/mod.rs	try_from_str	111	137	24	3	0	0	0.00	3	3	1
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	validate_anchor_identity	127	151	23	3	0	0	0.00	3	3	1
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	normalize_or	375	403	23	3	1	4	4.00	2	2	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_prefix_and_candidate	475	500	23	3	1	2	2.00	2	2	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_range_and_candidate	729	753	22	3	3	6	2.00	0	0	1
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	grouped_cursor_policy_violation	50	71	21	3	0	0	0.00	3	3	1
value	crates/icydb-core/src/value/mod.rs	validate_map_entries	293	314	20	3	0	0	0.00	3	3	1
visitor	crates/icydb-core/src/visitor/mod.rs	fmt	92	116	20	3	0	0	0.00	3	3	1
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	normalize_union	112	134	19	3	0	0	0.00	3	3	1
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	compare_text	81	101	19	3	2	5	2.50	1	1	1
types::decimal	crates/icydb-core/src/types/decimal.rs	powu	403	425	18	3	0	0	0.00	3	3	1
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	normalize_intersection	135	155	17	3	0	0	0.00	3	3	1
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	load_covering_scan_reason	375	395	17	3	0	0	0.00	3	3	1
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	index_covering_existing_rows_terminal_eligible	46	64	17	3	0	0	0.00	3	3	1
types::decimal	crates/icydb-core/src/types/decimal.rs	saturating_add	365	384	17	3	1	3	3.00	2	2	1
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	simplify_limit_one_page_for_by_key_access	352	369	16	3	1	2	2.00	2	2	1
value::compare	crates/icydb-core/src/value/compare.rs	canonical_cmp_value_enum	115	133	16	3	1	4	4.00	2	2	1
db::access::plan	crates/icydb-core/src/db/access/plan.rs	collapse_canonical_composite	162	175	13	3	0	0	0.00	3	3	1
value	crates/icydb-core/src/value/mod.rs	numeric_repr	433	447	13	3	0	0	0.00	3	3	1
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	predicate_pushdown_mode	45	60	15	2	1	3	3.00	2	1	3
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	normalize_value_for_kind	198	275	70	2	2	6	3.00	0	0	2
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	encode_value_sort_key_into	108	170	60	2	2	25	12.50	0	0	2
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	apply	112	160	45	2	0	0	0.00	2	2	2
