module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::data::row	crates/icydb-core/src/db/data/row.rs	134	0	0	0.00	1	1	1	2	1
db::data::store	crates/icydb-core/src/db/data/store.rs	47	0	0	0.00	0	0	0	1	0
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	355	5	21	4.20	2	0	2	2	5
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	788	6	17	2.83	9	5	2	1	11
db::direction	crates/icydb-core/src/db/direction.rs	17	0	0	0.00	0	0	0	0	0
db::error::access	crates/icydb-core/src/db/error/access.rs	10	0	0	0.00	0	0	0	1	0
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	39	1	2	2.00	0	0	1	1	1
db::error::executor	crates/icydb-core/src/db/error/executor.rs	31	0	0	0.00	0	0	0	1	0
db::error	crates/icydb-core/src/db/error/mod.rs	19	0	0	0.00	0	0	0	0	0
db::error::planner	crates/icydb-core/src/db/error/planner.rs	64	4	14	3.50	0	0	2	2	4
db::error::query	crates/icydb-core/src/db/error/query.rs	18	0	0	0.00	0	0	0	1	0
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	369	1	3	3.00	11	11	1	1	12
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	32	0	0	0.00	0	0	0	1	0
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	366	0	0	0.00	12	9	1	2	9
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	266	5	8	1.60	2	2	2	2	7
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	17	0	0	0.00	0	0	0	0	0
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	66	2	10	5.00	0	0	1	1	2
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	290	5	26	5.20	8	6	2	2	11
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	99	0	0	0.00	4	4	1	1	4
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	85	0	0	0.00	0	0	0	1	0
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	464	2	10	5.00	15	15	2	1	17
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	361	3	9	3.00	9	9	1	1	12
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	298	3	4	1.33	13	11	3	1	14
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	250	4	9	2.25	8	6	2	1	10
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	44	0	0	0.00	0	0	0	1	0
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	384	3	5	1.67	6	6	1	2	9
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	319	4	11	2.75	8	7	2	2	11
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	88	0	0	0.00	2	2	1	1	2
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	137	2	6	3.00	12	12	2	1	14
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	527	7	23	3.29	18	16	2	1	23
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	139	3	8	2.67	7	5	3	1	8
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	7	0	0	0.00	0	0	0	0	0
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	76	0	0	0.00	1	1	1	2	1
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	125	0	0	0.00	8	6	2	2	6
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	103	4	8	2.00	1	1	2	1	5
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	69	0	0	0.00	2	2	1	1	2
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	85	1	4	4.00	0	0	1	1	1
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	97	2	5	2.50	4	3	1	1	5
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	149	1	2	2.00	1	1	1	1	2
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	80	1	2	2.00	3	2	1	1	3
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	81	2	4	2.00	1	1	2	1	3
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	91	0	0	0.00	2	2	1	1	2
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	6	0	0	0.00	0	0	0	0	0
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	105	1	4	4.00	0	0	1	1	1
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	8	0	0	0.00	0	0	0	0	0
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	445	7	16	2.29	10	10	2	1	17
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	120	0	0	0.00	0	0	0	2	0
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	170	2	7	3.50	0	0	1	1	2
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	83	0	0	0.00	0	0	0	2	0
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	77	0	0	0.00	1	1	1	1	1
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	64	0	0	0.00	0	0	0	1	0
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	22	0	0	0.00	0	0	0	0	0
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	232	0	0	0.00	0	0	0	2	0
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	343	2	3	1.50	3	3	2	1	5
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	195	0	0	0.00	3	3	1	1	3
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	106	0	0	0.00	0	0	0	2	0
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	12	0	0	0.00	0	0	0	0	0
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	318	3	8	2.67	0	0	1	2	3
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	529	9	20	2.22	10	7	2	2	16
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	951	20	75	3.75	34	28	2	1	48
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	9	0	0	0.00	0	0	0	0	0
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	103	0	0	0.00	0	0	0	2	0
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	349	4	8	2.00	2	1	2	2	5
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	122	0	0	0.00	0	0	0	1	0
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	187	0	0	0.00	6	6	1	1	6
db::executor	crates/icydb-core/src/db/executor/mod.rs	195	2	4	2.00	0	0	1	2	2
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	409	1	5	5.00	8	8	2	1	9
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	41	0	0	0.00	0	0	0	1	0
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	368	3	8	2.67	12	5	2	1	8
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	298	4	10	2.50	13	12	2	1	16
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	89	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	53	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	94	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	11	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	65	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	134	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	153	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	111	2	4	2.00	0	0	1	1	2
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	67	1	2	2.00	0	0	1	1	1
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	77	0	0	0.00	0	0	0	1	0
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	82	1	3	3.00	6	4	2	1	5
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	109	0	0	0.00	0	0	0	2	0
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	89	3	6	2.00	0	0	1	1	3
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	7	0	0	0.00	0	0	0	0	0
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	108	0	0	0.00	1	1	1	1	1
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	67	0	0	0.00	0	0	0	1	0
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	12	0	0	0.00	0	0	0	0	0
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	260	1	2	2.00	3	3	1	2	4
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	11	0	0	0.00	0	0	0	0	0
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	392	0	0	0.00	11	8	3	3	8
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	34	0	0	0.00	0	0	0	1	0
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	32	1	2	2.00	1	1	1	1	2
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	367	11	23	2.09	6	5	2	1	16
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	35	0	0	0.00	0	0	0	1	0
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	340	7	18	2.57	2	2	1	2	9
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	118	2	4	2.00	6	3	2	1	5
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	67	0	0	0.00	0	0	0	1	0
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	161	2	5	2.50	1	1	1	2	3
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	181	3	10	3.33	2	1	1	1	4
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	77	0	0	0.00	0	0	0	3	0
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	51	0	0	0.00	0	0	0	2	0
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	55	1	6	6.00	0	0	1	0	1
db::executor::pipeline::timing	crates/icydb-core/src/db/executor/pipeline/timing.rs	32	0	0	0.00	0	0	0	0	0
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	87	1	2	2.00	0	0	1	1	1
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	27	0	0	0.00	0	0	0	1	0
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	87	1	2	2.00	0	0	1	1	1
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	145	2	12	6.00	0	0	1	1	2
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	84	2	8	4.00	4	0	1	1	2
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	112	4	24	6.00	1	1	1	1	5
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	8	0	0	0.00	0	0	0	0	0
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	51	2	4	2.00	1	1	1	1	3
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	59	0	0	0.00	2	2	1	1	2
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	162	4	6	1.50	3	2	2	2	6
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	13	0	0	0.00	0	0	0	0	0
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	163	0	0	0.00	1	1	1	2	1
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	56	0	0	0.00	0	0	0	1	0
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	153	1	1	1.00	0	0	1	1	1
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	70	0	0	0.00	0	0	0	1	0
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	255	4	10	2.50	1	0	3	2	4
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	35	0	0	0.00	0	0	0	0	0
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	93	0	0	0.00	0	0	0	1	0
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	115	0	0	0.00	0	0	0	2	0
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	57	1	2	2.00	0	0	1	1	1
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	161	0	0	0.00	1	0	1	2	0
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	113	2	6	3.00	2	2	1	1	4
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	112	0	0	0.00	1	1	1	2	1
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	6	0	0	0.00	0	0	0	0	0
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	34	0	0	0.00	0	0	0	0	0
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	70	1	3	3.00	2	2	2	2	3
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	203	2	9	4.50	2	2	1	3	4
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	92	2	7	3.50	0	0	1	1	2
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	72	2	4	2.00	0	0	1	1	2
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	41	0	0	0.00	1	0	1	1	0
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	68	1	2	2.00	0	0	1	1	1
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	44	0	0	0.00	1	1	1	1	1
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	103	0	0	0.00	0	0	0	1	0
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	79	0	0	0.00	1	1	1	1	1
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	224	2	0	0.00	0	0	1	3	2
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	98	2	7	3.50	1	0	2	1	2
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	90	0	0	0.00	1	0	1	2	0
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	87	0	0	0.00	0	0	0	1	0
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	39	0	0	0.00	0	0	0	1	0
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	99	0	0	0.00	0	0	0	1	0
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	50	0	0	0.00	0	0	0	1	0
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	368	5	12	2.40	10	8	2	1	13
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	49	0	0	0.00	0	0	0	1	0
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	132	0	0	0.00	1	1	1	1	1
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	120	1	4	4.00	0	0	1	1	1
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	44	0	0	0.00	0	0	0	1	0
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	10	0	0	0.00	0	0	0	0	0
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	39	0	0	0.00	0	0	0	1	0
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	45	0	0	0.00	0	0	0	1	0
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	267	0	0	0.00	2	2	1	1	2
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	15	0	0	0.00	0	0	0	0	0
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	304	2	10	5.00	8	3	2	1	5
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	190	2	4	2.00	3	3	2	1	5
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	328	2	3	1.50	7	5	2	2	7
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	340	2	6	3.00	13	13	2	2	15
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	121	1	2	2.00	1	1	1	1	2
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	80	0	0	0.00	4	4	3	1	4
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	14	0	0	0.00	0	0	0	0	0
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	60	3	6	2.00	0	0	1	1	3
