concept	module	file	mention_lines	branch_site_hits
PredicateCoercion	db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	6	1
PredicateCoercion	db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	6	1
PredicateCoercion	db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	2	1
PredicateCoercion	db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	1	1
PredicateCoercion	db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	1	1
PredicateCoercion	db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	58	0
PredicateCoercion	db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	47	0
PredicateCoercion	db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	35	0
PredicateCoercion	db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	28	0
PredicateCoercion	db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	22	0
PredicateCoercion	db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	21	0
PredicateCoercion	db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	18	0
PredicateCoercion	db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	17	0
PredicateCoercion	db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	14	0
PredicateCoercion	db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	12	0
PredicateCoercion	db::predicate	crates/icydb-core/src/db/predicate/mod.rs	10	0
PredicateCoercion	db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	10	0
PredicateCoercion	db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	9	0
PredicateCoercion	db::query::expr	crates/icydb-core/src/db/query/expr.rs	9	0
PredicateCoercion	db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	8	0
PredicateCoercion	db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	8	0
PredicateCoercion	db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	8	0
PredicateCoercion	db::schema::info	crates/icydb-core/src/db/schema/info.rs	8	0
PredicateCoercion	value	crates/icydb-core/src/value/mod.rs	8	0
PredicateCoercion	value::coercion	crates/icydb-core/src/value/coercion.rs	8	0
PredicateCoercion	db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	7	0
PredicateCoercion	db::numeric	crates/icydb-core/src/db/numeric/mod.rs	6	0
PredicateCoercion	db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	6	0
PredicateCoercion	db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	5	0
PredicateCoercion	db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	5	0
PredicateCoercion	types::decimal	crates/icydb-core/src/types/decimal.rs	5	0
PredicateCoercion	db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	4	0
PredicateCoercion	db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	4	0
PredicateCoercion	db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	4	0
PredicateCoercion	db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	4	0
PredicateCoercion	db::index::scan	crates/icydb-core/src/db/index/scan.rs	4	0
PredicateCoercion	db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	4	0
PredicateCoercion	db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	4	0
PredicateCoercion	db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	4	0
PredicateCoercion	db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	4	0
PredicateCoercion	db	crates/icydb-core/src/db/mod.rs	3	0
PredicateCoercion	db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	3	0
PredicateCoercion	model::field	crates/icydb-core/src/model/field.rs	3	0
PredicateCoercion	db::contracts	crates/icydb-core/src/db/contracts/mod.rs	2	0
PredicateCoercion	db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	2	0
PredicateCoercion	db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	2	0
PredicateCoercion	db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	2	0
PredicateCoercion	db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	2	0
PredicateCoercion	db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	2	0
PredicateCoercion	db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	2	0
PredicateCoercion	db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	2	0
PredicateCoercion	db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	2	0
PredicateCoercion	db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	2	0
PredicateCoercion	db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	2	0
PredicateCoercion	db::index	crates/icydb-core/src/db/index/mod.rs	2	0
PredicateCoercion	db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	2	0
PredicateCoercion	db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	2	0
