module_path	file	fanout	layers_touched	layer_count	risk
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	3	executor	1	low
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	3	executor	1	low
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	3	access	1	low
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	3	query/plan	1	low
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	3	executor	1	low
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	3	query/plan	1	low
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	3	index/storage	1	low
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	3	index/storage	1	low
db::index::store	crates/icydb-core/src/db/index/store.rs	3	index/storage	1	low
db::query::explain::execution	crates/icydb-core/src/db/query/explain/execution.rs	3	query/plan	1	low
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	3	query/plan	1	low
db::query::intent	crates/icydb-core/src/db/query/intent/mod.rs	3	query/plan	1	low
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	3	query/plan	1	low
db::query::plan::projection	crates/icydb-core/src/db/query/plan/projection.rs	3	query/plan	1	low
db::query::plan::validate::grouped::policy::rules	crates/icydb-core/src/db/query/plan/validate/grouped/policy/rules.rs	3	query/plan	1	low
db::query::plan::validate::grouped::structure	crates/icydb-core/src/db/query/plan/validate/grouped/structure/mod.rs	3	query/plan	1	low
db::query::plan::validate::order	crates/icydb-core/src/db/query/plan/validate/order.rs	3	query/plan	1	low
db::schema::fingerprint	crates/icydb-core/src/db/schema/fingerprint.rs	3	index/storage	1	low
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	3		0	low
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	3		0	low
db::data	crates/icydb-core/src/db/data/mod.rs	3		0	low
db::error::executor	crates/icydb-core/src/db/error/executor.rs	3		0	low
db::error::query	crates/icydb-core/src/db/error/query.rs	3		0	low
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	3		0	low
db::numeric	crates/icydb-core/src/db/numeric/mod.rs	3		0	low
db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	3		0	low
db::response::grouped	crates/icydb-core/src/db/response/grouped.rs	3		0	low
patch::merge::list	crates/icydb-core/src/patch/merge/list.rs	3		0	low
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	3		0	low
patch::merge::scalar	crates/icydb-core/src/patch/merge/scalar.rs	3		0	low
patch::merge::set	crates/icydb-core/src/patch/merge/set.rs	3		0	low
value::hash	crates/icydb-core/src/value/hash.rs	3		0	low
visitor::sanitize	crates/icydb-core/src/visitor/sanitize.rs	3		0	low
visitor::validate	crates/icydb-core/src/visitor/validate.rs	3		0	low
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	2	query/plan,executor	2	low
db::query::intent::policy	crates/icydb-core/src/db/query/intent/policy.rs	2	intent,query/plan	2	low
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	2	query/plan,access	2	low
db::error::access	crates/icydb-core/src/db/error/access.rs	2	access	1	low
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	2	executor	1	low
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	2	executor	1	low
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	2	executor	1	low
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	2	executor	1	low
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	2	index/storage	1	low
db::executor::traversal	crates/icydb-core/src/db/executor/traversal.rs	2	query/plan	1	low
db::index::key::codec::envelope	crates/icydb-core/src/db/index/key/codec/envelope.rs	2	index/storage	1	low
db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	2	query/plan	1	low
db::query::builder::aggregate	crates/icydb-core/src/db/query/builder/aggregate.rs	2	query/plan	1	low
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	2	query/plan	1	low
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	2	query/plan	1	low
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	2	codec	1	low
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	2	query/plan	1	low
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	2	query/plan	1	low
db::query::plan::order_contract	crates/icydb-core/src/db/query/plan/order_contract.rs	2	query/plan	1	low
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	2	query/plan	1	low
db::query::plan::semantics::pushdown	crates/icydb-core/src/db/query/plan/semantics/pushdown.rs	2	query/plan	1	low
db::query::plan::validate::fluent_policy	crates/icydb-core/src/db/query/plan/validate/fluent_policy.rs	2	query/plan	1	low
db::query::plan::validate::grouped::policy	crates/icydb-core/src/db/query/plan/validate/grouped/policy/mod.rs	2	query/plan	1	low
db::query::plan::validate::grouped::projection_expr	crates/icydb-core/src/db/query/plan/validate/grouped/projection_expr/mod.rs	2	query/plan	1	low
db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	2	query/plan	1	low
db::query::plan::validate::symbols	crates/icydb-core/src/db/query/plan/validate/symbols.rs	2	query/plan	1	low
db::access::path	crates/icydb-core/src/db/access/path.rs	2		0	low
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	2		0	low
db::index::plan::private	crates/icydb-core/src/db/index/plan/private.rs	2		0	low
db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	2		0	low
db::query::api::private	crates/icydb-core/src/db/query/api/private.rs	2		0	low
db::relation::metadata	crates/icydb-core/src/db/relation/metadata.rs	2		0	low
metrics::sink	crates/icydb-core/src/metrics/sink.rs	2		0	low
model::entity	crates/icydb-core/src/model/entity.rs	2		0	low
patch::map	crates/icydb-core/src/patch/map.rs	2		0	low
types::ulid::generator	crates/icydb-core/src/types/ulid/generator.rs	2		0	low
value::compare	crates/icydb-core/src/value/compare.rs	2		0	low
value::rank	crates/icydb-core/src/value/rank.rs	2		0	low
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	1	executor	1	low
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	1	index/storage	1	low
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	1	query/plan	1	low
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	1	executor	1	low
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	1	executor	1	low
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	1	executor	1	low
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	1	executor	1	low
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	1	executor	1	low
db::index::key::codec::scalar	crates/icydb-core/src/db/index/key/codec/scalar.rs	1	index/storage	1	low
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	1	index/storage	1	low
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	1	query/plan	1	low
db::query::explain::nodes::aggregate	crates/icydb-core/src/db/query/explain/nodes/aggregate.rs	1	query/plan	1	low
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	1	query/plan	1	low
db::query::explain::nodes::scan	crates/icydb-core/src/db/query/explain/nodes/scan.rs	1	query/plan	1	low
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	1	query/plan	1	low
db::query::intent::order	crates/icydb-core/src/db/query/intent/order.rs	1	query/plan	1	low
db::query::plan::expr::projection	crates/icydb-core/src/db/query/plan/expr/projection.rs	1	query/plan	1	low
db::query::plan::limit_zero	crates/icydb-core/src/db/query/plan/limit_zero.rs	1	query/plan	1	low
db::query::plan::model_builder	crates/icydb-core/src/db/query/plan/model_builder.rs	1	query/plan	1	low
db::query::plan::validate::cursor_policy	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs	1	query/plan	1	low
db::query::plan::validate::grouped::cursor	crates/icydb-core/src/db/query/plan/validate/grouped/cursor/mod.rs	1	query/plan	1	low
db::query::plan::validate::plan_shape	crates/icydb-core/src/db/query/plan/validate/plan_shape.rs	1	query/plan	1	low
db::query::policy	crates/icydb-core/src/db/query/policy.rs	1	query/plan	1	low
db::query::trace	crates/icydb-core/src/db/query/trace.rs	1	query/plan	1	low
serialize::cbor	crates/icydb-core/src/serialize/cbor.rs	1	codec	1	low
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	1		0	low
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	1		0	low
db::identity	crates/icydb-core/src/db/identity/mod.rs	1		0	low
db::index::key::id	crates/icydb-core/src/db/index/key/id.rs	1		0	low
db::index::key::ordered::error	crates/icydb-core/src/db/index/key/ordered/error.rs	1		0	low
db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	1		0	low
db::query::plan::constant_predicate	crates/icydb-core/src/db/query/plan/constant_predicate.rs	1		0	low
db::schema::format	crates/icydb-core/src/db/schema/format.rs	1		0	low
error	crates/icydb-core/src/error/mod.rs	1		0	low
model::field	crates/icydb-core/src/model/field.rs	1		0	low
patch::list	crates/icydb-core/src/patch/list.rs	1		0	low
patch::set	crates/icydb-core/src/patch/set.rs	1		0	low
types::ulid::fixture	crates/icydb-core/src/types/ulid/fixture.rs	1		0	low
value::tag	crates/icydb-core/src/value/tag.rs	1		0	low
db::access	crates/icydb-core/src/db/access/mod.rs	0		0	low
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	0		0	low
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	0		0	low
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	0		0	low
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	0		0	low
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	0		0	low
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	0		0	low
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	0		0	low
db::direction	crates/icydb-core/src/db/direction.rs	0		0	low
db::error	crates/icydb-core/src/db/error/mod.rs	0		0	low
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	0		0	low
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	0		0	low
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	0		0	low
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	0		0	low
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	0		0	low
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	0		0	low
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	0		0	low
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	0		0	low
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	0		0	low
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	0		0	low
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	0		0	low
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	0		0	low
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	0		0	low
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	0		0	low
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	0		0	low
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	0		0	low
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	0		0	low
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	0		0	low
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	0		0	low
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	0		0	low
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	0		0	low
db::executor::stream	crates/icydb-core/src/db/executor/stream/mod.rs	0		0	low
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	0		0	low
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	0		0	low
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	0		0	low
db::executor::util	crates/icydb-core/src/db/executor/util.rs	0		0	low
db::index	crates/icydb-core/src/db/index/mod.rs	0		0	low
db::index::envelope	crates/icydb-core/src/db/index/envelope.rs	0		0	low
db::index::key	crates/icydb-core/src/db/index/key/mod.rs	0		0	low
db::index::key::codec::error	crates/icydb-core/src/db/index/key/codec/error.rs	0		0	low
db::predicate	crates/icydb-core/src/db/predicate/mod.rs	0		0	low
db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	0		0	low
db::query	crates/icydb-core/src/db/query/mod.rs	0		0	low
db::query::access	crates/icydb-core/src/db/query/access/mod.rs	0		0	low
db::query::api	crates/icydb-core/src/db/query/api/mod.rs	0		0	low
db::query::builder	crates/icydb-core/src/db/query/builder/mod.rs	0		0	low
db::query::explain	crates/icydb-core/src/db/query/explain/mod.rs	0		0	low
db::query::explain::writer	crates/icydb-core/src/db/query/explain/writer.rs	0		0	low
db::query::fluent	crates/icydb-core/src/db/query/fluent/mod.rs	0		0	low
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	0		0	low
db::query::plan	crates/icydb-core/src/db/query/plan/mod.rs	0		0	low
db::query::plan::expr	crates/icydb-core/src/db/query/plan/expr/mod.rs	0		0	low
db::query::plan::semantics	crates/icydb-core/src/db/query/plan/semantics/mod.rs	0		0	low
db::query::plan::validate	crates/icydb-core/src/db/query/plan/validate/mod.rs	0		0	low
db::query::plan::validate::grouped	crates/icydb-core/src/db/query/plan/validate/grouped/mod.rs	0		0	low
db::response::private	crates/icydb-core/src/db/response/private.rs	0		0	low
db::schema	crates/icydb-core/src/db/schema/mod.rs	0		0	low
db::sql	crates/icydb-core/src/db/sql/mod.rs	0		0	low
metrics	crates/icydb-core/src/metrics/mod.rs	0		0	low
metrics::state	crates/icydb-core/src/metrics/state.rs	0		0	low
model	crates/icydb-core/src/model/mod.rs	0		0	low
model::index	crates/icydb-core/src/model/index.rs	0		0	low
patch	crates/icydb-core/src/patch/mod.rs	0		0	low
patch::merge	crates/icydb-core/src/patch/merge/mod.rs	0		0	low
patch::merge::error	crates/icydb-core/src/patch/merge/error.rs	0		0	low
scalar_registry	crates/icydb-core/src/scalar_registry.rs	0		0	low
serialize	crates/icydb-core/src/serialize/mod.rs	0		0	low
traits::atomic	crates/icydb-core/src/traits/atomic.rs	0		0	low
traits::macros	crates/icydb-core/src/traits/macros.rs	0		0	low
types	crates/icydb-core/src/types/mod.rs	0		0	low
types::float	crates/icydb-core/src/types/float/mod.rs	0		0	low
types::identity	crates/icydb-core/src/types/identity/mod.rs	0		0	low
types::identity::generate_key	crates/icydb-core/src/types/identity/generate_key.rs	0		0	low
value::coercion	crates/icydb-core/src/value/coercion.rs	0		0	low
visitor::context	crates/icydb-core/src/visitor/context.rs	0		0	low
