module_path	file	fanout	layers_touched	layer_count	risk
db::schema::info	crates/icydb-core/src/db/schema/info.rs	8		0	low
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	7	query/plan,access	2	low
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	7	executor,index/storage	2	low
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	7	executor,index/storage	2	low
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	7	query/plan,executor	2	low
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	7	query/plan,executor	2	low
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	7	query/plan,codec	2	low
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	7	intent,query/plan	2	low
db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors.rs	7	query/plan,executor	2	low
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	7	query/plan,access	2	low
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	7	access	1	low
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	7	access	1	low
db::access::plan	crates/icydb-core/src/db/access/plan.rs	7	access	1	low
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	7	index/storage	1	low
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	7	executor	1	low
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	7	executor	1	low
db::index::entry	crates/icydb-core/src/db/index/entry.rs	7	index/storage	1	low
db::index::key::ordered::semantics	crates/icydb-core/src/db/index/key/ordered/semantics.rs	7	index/storage	1	low
db::registry	crates/icydb-core/src/db/registry.rs	7	index/storage	1	low
db::sql::parser	crates/icydb-core/src/db/sql/parser.rs	7	query/plan	1	low
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	7		0	low
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	6	query/plan,executor,index/storage	3	medium
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	6	query/plan,access,executor	3	medium
db::cursor::resume	crates/icydb-core/src/db/cursor/resume.rs	6	query/plan,executor	2	low
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	6	query/plan,executor	2	low
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	6	query/plan,executor	2	low
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	6	query/plan,executor	2	low
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	6	query/plan,executor	2	low
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	6	query/plan,executor	2	low
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	6	access,executor	2	low
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	6	executor,index/storage	2	low
db::query::explain::access_projection	crates/icydb-core/src/db/query/explain/access_projection.rs	6	query/plan,access	2	low
db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	6	query/plan,executor	2	low
db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	6	query/plan,access	2	low
db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	6	query/plan,access	2	low
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	6	index/storage	1	low
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	6	index/storage	1	low
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	6	executor	1	low
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	6	executor	1	low
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	6	executor	1	low
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	6	executor	1	low
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	6	query/plan	1	low
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	6	query/plan	1	low
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	6		0	low
db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	6		0	low
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	6		0	low
lib	crates/icydb-core/src/lib.rs	6		0	low
sanitize	crates/icydb-core/src/sanitize.rs	6		0	low
traits::view	crates/icydb-core/src/traits/view.rs	6		0	low
traits::visitor	crates/icydb-core/src/traits/visitor.rs	6		0	low
validate	crates/icydb-core/src/validate.rs	6		0	low
value	crates/icydb-core/src/value/mod.rs	6		0	low
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	5	query/plan,executor,codec	3	medium
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	5	query/plan,access	2	low
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	5	query/plan,executor	2	low
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	5	query/plan,executor	2	low
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	5	query/plan,access	2	low
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	5	query/plan,executor	2	low
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	5	query/plan,executor	2	low
db::query::fingerprint::shape_signature	crates/icydb-core/src/db/query/fingerprint/shape_signature/mod.rs	5	query/plan,executor	2	low
db::query::intent::state	crates/icydb-core/src/db/query/intent/state.rs	5	intent,query/plan	2	low
db::query::plan::access_plan	crates/icydb-core/src/db/query/plan/access_plan.rs	5	query/plan,access	2	low
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	5	executor	1	low
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	5	executor	1	low
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	5	executor	1	low
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	5	executor	1	low
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	5	executor	1	low
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	5	executor	1	low
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	5	executor	1	low
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	5	executor	1	low
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	5	index/storage	1	low
db::index::pk_equivalence	crates/icydb-core/src/db/index/pk_equivalence.rs	5	index/storage	1	low
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	5	query/plan	1	low
db::query::plan::stability	crates/icydb-core/src/db/query/plan/stability.rs	5	access	1	low
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	5		0	low
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	5		0	low
db::response	crates/icydb-core/src/db/response/mod.rs	5		0	low
db::response::paged	crates/icydb-core/src/db/response/paged.rs	5		0	low
db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	5		0	low
types::identity::projection	crates/icydb-core/src/types/identity/projection.rs	5		0	low
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	4	access,executor,index/storage	3	medium
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	4	executor,codec	2	low
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	4	access,executor	2	low
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	4	query/plan,access	2	low
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	4	intent,query/plan	2	low
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	4	query/plan,access	2	low
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	4	access	1	low
db::codec	crates/icydb-core/src/db/codec/mod.rs	4	codec	1	low
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	4	index/storage	1	low
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	4	executor	1	low
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	4	executor	1	low
db::error::planner	crates/icydb-core/src/db/error/planner.rs	4	query/plan	1	low
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	4	query/plan	1	low
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	4	executor	1	low
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	4	executor	1	low
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	4	executor	1	low
db::index::key::codec::bounds	crates/icydb-core/src/db/index/key/codec/bounds.rs	4	index/storage	1	low
db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	4	index/storage	1	low
db::index::key::ordered::parts	crates/icydb-core/src/db/index/key/ordered/parts.rs	4	index/storage	1	low
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	4	index/storage	1	low
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	4	query/plan	1	low
db::query::plan::semantics::group_model	crates/icydb-core/src/db/query/plan/semantics/group_model.rs	4	query/plan	1	low
db::commit	crates/icydb-core/src/db/commit/mod.rs	4		0	low
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	4		0	low
