module_path	file	branch_pressure	match_count	if_count	max_match_depth	fanout	risk
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	0	0	0	0	16	low
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	0	0	0	0	0	low
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	0	0	0	0	4	low
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	0	0	0	0	0	low
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	0	0	0	0	0	low
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	0	0	0	0	6	low
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	0	0	0	0	2	low
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	0	0	0	0	5	low
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	0	0	0	0	8	low
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	0	0	0	0	0	low
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	0	0	0	0	1	low
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	0	0	0	0	1	low
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	0	0	0	0	1	low
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	0	0	0	0	3	low
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	0	0	0	0	3	low
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	0	0	0	0	8	low
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	0	0	0	0	0	low
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	0	0	0	0	0	low
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	0	0	0	0	2	low
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	0	0	0	0	4	low
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	0	0	0	0	3	low
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	0	0	0	0	6	low
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	0	0	0	0	6	low
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	0	0	0	0	10	low
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	0	0	0	0	8	low
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	0	0	0	0	0	low
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	0	0	0	0	1	low
