module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	100	1	4	0	2	2	0	9	executor	query/plan,access,executor	5	5
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	154	0	1	2	12	14	1	4	executor		0	0
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	576	0	5	7	18	25	2	18	executor	query/plan,executor,index/storage	11	12
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	150	1	1	3	7	10	1	13	executor	executor	0	0
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	9	0	0	0	0	0	0	0	executor		0	0
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	91	0	1	0	1	1	0	5	executor	executor	0	0
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	135	0	2	0	8	8	0	8	executor	executor	0	0
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	112	1	2	4	1	5	2	3	executor		0	0
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	74	0	1	0	2	2	0	8	executor	query/plan,executor	1	1
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	88	0	1	1	0	1	1	6	executor	query/plan,executor	2	2
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	105	0	1	2	4	6	1	11	executor	executor,index/storage	0	1
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	159	0	3	1	1	2	1	11	executor	executor,index/storage	0	1
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	86	0	1	1	3	4	1	8	executor	query/plan,executor	1	1
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	87	0	1	2	1	3	2	8	executor	query/plan,executor	3	3
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	98	0	2	0	2	2	0	5	executor	executor	0	0
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	7	0	0	0	0	0	0	0	executor		0	0
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	113	0	3	1	0	1	1	10	executor	query/plan,executor	4	4
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	9	0	0	0	0	0	0	0	executor		0	0
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	491	0	11	7	10	17	1	22	executor	query/plan,access,executor,index/storage	11	12
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	138	1	0	0	0	0	0	3	executor	query/plan,executor	1	1
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	190	5	5	2	0	2	1	11	executor	query/plan,executor	1	1
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	96	1	0	0	0	0	0	2	executor	executor	0	0
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	85	1	1	0	1	1	0	7	executor	executor	0	0
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	73	1	0	0	0	0	0	1	executor		0	0
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	24	0	0	0	0	0	0	0	executor		0	0
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	264	3	1	0	0	0	0	5	executor	query/plan,executor	2	2
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	383	4	8	2	3	5	1	18	executor	query/plan,access,executor	3	3
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	216	2	2	0	3	3	0	21	executor	executor,index/storage	0	5
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	124	1	0	0	0	0	0	3	executor	access	1	1
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	14	0	0	0	0	0	0	5	executor		0	0
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	350	2	3	3	0	3	1	1	executor	query/plan	3	3
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	598	2	23	9	10	19	1	26	executor	query/plan,access,executor,codec	14	15
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	1030	0	3	20	34	54	2	17	executor	query/plan,access,executor	18	18
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	11	0	0	0	0	0	0	0	executor		0	0
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	114	1	1	0	0	0	0	4	executor		0	0
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	398	4	6	4	2	6	1	6	executor	executor	0	0
