module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
lib	crates/icydb-core/src/lib.rs	56	0	0	0	0	0	0	6	support		0	0
metrics	crates/icydb-core/src/metrics/mod.rs	25	0	0	0	0	0	0	0	support		0	0
metrics::sink	crates/icydb-core/src/metrics/sink.rs	752	7	5	7	2	9	2	2	support		0	0
metrics::state	crates/icydb-core/src/metrics/state.rs	714	6	9	2	5	7	2	0	support		0	0
model::entity	crates/icydb-core/src/model/entity.rs	119	1	2	0	0	0	0	2	support		0	0
model::field	crates/icydb-core/src/model/field.rs	184	3	0	2	1	3	1	1	support		0	0
model::index	crates/icydb-core/src/model/index.rs	83	1	1	0	1	1	0	0	support		0	0
model	crates/icydb-core/src/model/mod.rs	33	0	0	0	0	0	0	0	support		0	0
patch::list	crates/icydb-core/src/patch/list.rs	73	1	0	0	0	0	0	1	support		0	0
patch::map	crates/icydb-core/src/patch/map.rs	141	1	0	1	0	1	1	2	support		0	0
patch::merge::error	crates/icydb-core/src/patch/merge/error.rs	87	1	3	3	2	5	1	0	support		0	0
patch::merge::list	crates/icydb-core/src/patch/merge/list.rs	65	0	1	1	2	3	1	3	support		0	0
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	418	0	2	3	7	10	1	3	support		0	0
patch::merge	crates/icydb-core/src/patch/merge/mod.rs	17	0	0	0	0	0	0	0	support		0	0
patch::merge::scalar	crates/icydb-core/src/patch/merge/scalar.rs	48	0	2	1	1	2	1	3	support		0	0
patch::merge::set	crates/icydb-core/src/patch/merge/set.rs	131	0	2	1	0	1	1	3	support		0	0
patch	crates/icydb-core/src/patch/mod.rs	16	0	0	0	0	0	0	0	support		0	0
patch::set	crates/icydb-core/src/patch/set.rs	54	1	0	0	0	0	0	1	support		0	0
sanitize	crates/icydb-core/src/sanitize.rs	28	0	1	0	0	0	0	6	support		0	0
scalar_registry	crates/icydb-core/src/scalar_registry.rs	174	0	0	0	0	0	0	0	support		0	0
serialize::cbor	crates/icydb-core/src/serialize/cbor.rs	96	0	4	1	1	2	1	1	codec	codec	0	0
serialize	crates/icydb-core/src/serialize/mod.rs	115	2	4	2	0	2	1	0	codec		0	0
traits::atomic	crates/icydb-core/src/traits/atomic.rs	39	1	0	0	0	0	0	0	support		0	0
traits::macros	crates/icydb-core/src/traits/macros.rs	26	0	0	0	0	0	0	0	support		0	0
traits	crates/icydb-core/src/traits/mod.rs	573	23	0	4	3	7	1	4	support		0	0
traits::view	crates/icydb-core/src/traits/view.rs	324	3	0	0	4	4	0	6	support		0	0
traits::visitor	crates/icydb-core/src/traits/visitor.rs	240	7	0	0	6	6	0	6	support		0	0
types::account	crates/icydb-core/src/types/account.rs	576	2	6	1	16	17	1	14	support		0	0
types::blob	crates/icydb-core/src/types/blob.rs	129	1	6	1	0	1	1	10	support		0	0
types::date	crates/icydb-core/src/types/date.rs	455	1	7	3	2	5	1	13	support		0	0
types::decimal	crates/icydb-core/src/types/decimal.rs	1392	3	9	5	72	77	1	13	support		0	0
types::duration	crates/icydb-core/src/types/duration.rs	496	1	1	2	7	9	1	14	support		0	0
types::float::float32	crates/icydb-core/src/types/float/float32.rs	281	2	2	1	8	9	1	13	support		0	0
types::float::float64	crates/icydb-core/src/types/float/float64.rs	276	2	2	1	7	8	1	13	support		0	0
types::float	crates/icydb-core/src/types/float/mod.rs	10	0	0	0	0	0	0	0	support		0	0
types::identity::generate_key	crates/icydb-core/src/types/identity/generate_key.rs	17	1	0	0	0	0	0	0	support		0	0
types::identity::id	crates/icydb-core/src/types/identity/id.rs	383	1	3	0	0	0	0	14	support		0	0
types::identity	crates/icydb-core/src/types/identity/mod.rs	12	0	0	0	0	0	0	0	support		0	0
types::identity::projection	crates/icydb-core/src/types/identity/projection.rs	174	1	1	0	1	1	0	5	support		0	0
types::int::int128	crates/icydb-core/src/types/int/int128.rs	288	1	0	1	1	2	1	13	support		0	0
types::int	crates/icydb-core/src/types/int/mod.rs	183	1	6	1	0	1	1	10	support		0	0
types	crates/icydb-core/src/types/mod.rs	58	10	0	0	0	0	0	0	support		0	0
types::nat	crates/icydb-core/src/types/nat/mod.rs	193	1	6	1	1	2	1	10	support		0	0
types::nat::nat128	crates/icydb-core/src/types/nat/nat128.rs	267	1	0	1	1	2	1	12	support		0	0
types::principal	crates/icydb-core/src/types/principal.rs	321	4	3	2	2	4	1	11	support		0	0
types::subaccount	crates/icydb-core/src/types/subaccount.rs	282	1	2	1	1	2	1	13	support		0	0
types::timestamp	crates/icydb-core/src/types/timestamp.rs	610	1	5	6	4	10	1	16	support		0	0
types::ulid::fixture	crates/icydb-core/src/types/ulid/fixture.rs	88	0	1	0	2	2	0	1	support		0	0
types::ulid::generator	crates/icydb-core/src/types/ulid/generator.rs	78	1	2	0	2	2	0	2	support		0	0
types::ulid	crates/icydb-core/src/types/ulid/mod.rs	264	3	4	2	3	5	1	13	support		0	0
types::unit	crates/icydb-core/src/types/unit.rs	96	1	0	0	0	0	0	11	support		0	0
validate	crates/icydb-core/src/validate.rs	29	0	1	0	0	0	0	6	support		0	0
value::coercion	crates/icydb-core/src/value/coercion.rs	39	2	0	0	0	0	0	0	support		0	0
value::compare	crates/icydb-core/src/value/compare.rs	153	0	3	3	7	10	1	2	support		0	0
value::hash	crates/icydb-core/src/value/hash.rs	231	0	2	5	2	7	3	3	support		0	0
value	crates/icydb-core/src/value/mod.rs	958	5	35	20	31	51	2	6	support		0	0
value::rank	crates/icydb-core/src/value/rank.rs	21	0	0	0	0	0	0	2	support		0	0
value::storage_key	crates/icydb-core/src/value/storage_key.rs	611	3	3	10	8	18	1	18	support		0	0
value::tag	crates/icydb-core/src/value/tag.rs	113	1	0	2	0	2	1	1	support		0	0
value::wire	crates/icydb-core/src/value/wire.rs	97	0	0	1	0	1	1	4	support		0	0
visitor::context	crates/icydb-core/src/visitor/context.rs	108	4	6	1	1	2	1	0	support		0	0
visitor	crates/icydb-core/src/visitor/mod.rs	402	8	4	1	12	13	1	4	support		0	0
visitor::sanitize	crates/icydb-core/src/visitor/sanitize.rs	33	1	0	0	0	0	0	3	support		0	0
visitor::validate	crates/icydb-core/src/visitor/validate.rs	33	1	0	0	0	0	0	3	support		0	0
