module_path	file	pass_through_count	max_chain_depth
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	0	0
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	0	0
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	0	0
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	2	1
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	2	1
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	0	0
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	1	3
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	2	4
db::cursor::resume	crates/icydb-core/src/db/cursor/resume.rs	0	0
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	3	4
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	0	0
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	2	3
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	2	2
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	1	2
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	0	0
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	2	2
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	1	2
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	0	0
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	0	0
db::data::key	crates/icydb-core/src/db/data/key.rs	5	5
db::data	crates/icydb-core/src/db/data/mod.rs	0	0
db::data::row	crates/icydb-core/src/db/data/row.rs	3	2
db::data::store	crates/icydb-core/src/db/data/store.rs	5	6
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	0	0
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	0	0
db::direction	crates/icydb-core/src/db/direction.rs	0	0
db::error::access	crates/icydb-core/src/db/error/access.rs	1	2
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	1	2
db::error::executor	crates/icydb-core/src/db/error/executor.rs	3	2
db::error	crates/icydb-core/src/db/error/mod.rs	0	0
db::error::planner	crates/icydb-core/src/db/error/planner.rs	1	2
db::error::query	crates/icydb-core/src/db/error/query.rs	1	2
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	0	0
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	0	0
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	3	2
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	0	0
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	0	0
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	0	0
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	0	0
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	1	3
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	0	0
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	0	0
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	0	0
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	0	0
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	0	0
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	0	0
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	0	0
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	1	1
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	3	3
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	0	0
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	0	0
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	4	2
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	0	0
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	0	0
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	0	0
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	0	0
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	0	0
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	0	0
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	0	0
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	0	0
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	0	0
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	0	0
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	0	0
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	0	0
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	0	0
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	0	0
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	0	0
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	1	2
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	0	0
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	3	2
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	0	0
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	0	0
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	0	0
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	0	0
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	0	0
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	1	1
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	3	5
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	0	0
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	0	0
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	0	0
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	0	0
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	4	4
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	0	0
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	0	0
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	0	0
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	3	7
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	0	0
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	0	0
db::executor	crates/icydb-core/src/db/executor/mod.rs	8	4
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	0	0
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	0	0
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	12	2
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	1	5
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	0	0
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	0	0
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	0	0
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	1	3
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	0	0
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	0	0
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	0	0
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	10	4
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	2	4
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	2	1
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	0	0
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	5	2
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	0	0
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	0	0
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	0	0
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	0	0
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	0	0
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	0	0
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	0	0
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	0	0
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	0	0
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	5	7
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	0	0
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	0	0
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	1	3
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	0	0
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	0	0
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	0	0
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	0	0
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	0	0
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	0	0
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	0	0
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	0	0
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	0	0
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	0	0
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	0	0
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	0	0
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	1	3
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	0	0
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	0	0
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	0	0
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	0	0
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	0	0
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	0	0
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	0	0
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	0	0
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	0	0
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	0	0
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	0	0
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	0	0
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	1	3
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	0	0
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	0	0
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	0	0
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	0	0
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	0	0
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	0	0
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	0	0
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	0	0
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	0	0
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	1	7
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	1	1
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	0	0
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	0	0
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	0	0
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	0	0
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	0	0
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	0	0
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	0	0
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	0	0
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	0	0
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	1	4
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	0	0
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	1	1
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	0	0
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	0	0
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	2	6
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	0	0
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	1	2
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	0	0
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	1	1
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	0	0
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	1	1
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	1	1
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	1	3
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	0	0
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	0	0
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	0	0
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	1	2
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	2	5
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	3	3
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	0	0
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	0	0
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	1	3
db::executor::stream	crates/icydb-core/src/db/executor/stream/mod.rs	0	0
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	0	0
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	0	0
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	0	0
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	0	0
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	2	1
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	0	0
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	0	0
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	1	2
db::executor::traversal	crates/icydb-core/src/db/executor/traversal.rs	0	0
db::executor::util	crates/icydb-core/src/db/executor/util.rs	0	0
db::executor::window	crates/icydb-core/src/db/executor/window.rs	0	0
db::identity	crates/icydb-core/src/db/identity/mod.rs	6	8
db::index::entry	crates/icydb-core/src/db/index/entry.rs	9	13
db::index::envelope	crates/icydb-core/src/db/index/envelope.rs	1	4
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	3	1
db::index::key::codec::bounds	crates/icydb-core/src/db/index/key/codec/bounds.rs	0	0
db::index::key::codec::envelope	crates/icydb-core/src/db/index/key/codec/envelope.rs	1	2
db::index::key::codec::error	crates/icydb-core/src/db/index/key/codec/error.rs	0	0
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	3	4
db::index::key::codec::scalar	crates/icydb-core/src/db/index/key/codec/scalar.rs	0	0
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	0	0
db::index::key::id	crates/icydb-core/src/db/index/key/id.rs	0	0
db::index::key	crates/icydb-core/src/db/index/key/mod.rs	0	0
db::index::key::ordered::error	crates/icydb-core/src/db/index/key/ordered/error.rs	1	1
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	2	2
db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	0	0
db::index::key::ordered::parts	crates/icydb-core/src/db/index/key/ordered/parts.rs	0	0
db::index::key::ordered::semantics	crates/icydb-core/src/db/index/key/ordered/semantics.rs	0	0
db::index	crates/icydb-core/src/db/index/mod.rs	0	0
db::index::pk_equivalence	crates/icydb-core/src/db/index/pk_equivalence.rs	0	0
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	0	0
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	0	0
db::index::plan::private	crates/icydb-core/src/db/index/plan/private.rs	0	0
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	0	0
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	0	0
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	0	0
db::index::range	crates/icydb-core/src/db/index/range.rs	0	0
db::index::scan	crates/icydb-core/src/db/index/scan.rs	2	2
db::index::store	crates/icydb-core/src/db/index/store.rs	6	4
db	crates/icydb-core/src/db/mod.rs	4	3
db::numeric	crates/icydb-core/src/db/numeric/mod.rs	0	0
db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	1	1
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	0	0
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	0	0
db::predicate	crates/icydb-core/src/db/predicate/mod.rs	0	0
db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	22	3
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	0	0
db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	0	0
db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	0	0
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	0	0
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	0	0
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	0	0
db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	0	0
db::query::access	crates/icydb-core/src/db/query/access/mod.rs	0	0
db::query::api	crates/icydb-core/src/db/query/api/mod.rs	0	0
db::query::api::private	crates/icydb-core/src/db/query/api/private.rs	0	0
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	4	4
db::query::builder::aggregate	crates/icydb-core/src/db/query/builder/aggregate.rs	6	3
db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	10	6
db::query::builder	crates/icydb-core/src/db/query/builder/mod.rs	0	0
db::query::explain::access_projection	crates/icydb-core/src/db/query/explain/access_projection.rs	2	1
db::query::explain::execution	crates/icydb-core/src/db/query/explain/execution.rs	2	3
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	0	0
db::query::explain	crates/icydb-core/src/db/query/explain/mod.rs	0	0
db::query::explain::nodes::aggregate	crates/icydb-core/src/db/query/explain/nodes/aggregate.rs	0	0
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	0	0
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	0	0
db::query::explain::nodes::scan	crates/icydb-core/src/db/query/explain/nodes/scan.rs	0	0
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	0	0
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	4	3
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	0	0
db::query::explain::writer	crates/icydb-core/src/db/query/explain/writer.rs	1	5
db::query::expr	crates/icydb-core/src/db/query/expr.rs	1	1
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	0	0
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	4	3
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	0	0
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	0	0
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	0	0
db::query::fingerprint::shape_signature	crates/icydb-core/src/db/query/fingerprint/shape_signature/mod.rs	0	0
db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	10	4
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	14	4
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	0	0
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	4	11
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	45	6
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	1	2
db::query::fluent	crates/icydb-core/src/db/query/fluent/mod.rs	0	0
db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors.rs	3	1
db::query::intent::key_access	crates/icydb-core/src/db/query/intent/key_access.rs	2	6
db::query::intent	crates/icydb-core/src/db/query/intent/mod.rs	0	0
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	2	3
db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	6	4
db::query::intent::order	crates/icydb-core/src/db/query/intent/order.rs	0	0
