account.active.lower.order_handle.desc.limit3	142024	571169	713193	-1333458	-6515	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY LOWER(handle) DESC, id DESC LIMIT 3
account.active.lower.handle_prefix.limit3	467878	858189	1326067	-325903	-1972	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) ASC, id ASC LIMIT 3
account.tier.in.limit3	1181534	1248176	2429710	66412	281	SELECT id, tier FROM PerfAuditAccount WHERE active = true AND tier IN ('gold', 'silver') ORDER BY tier ASC, handle ASC, id ASC LIMIT 3
account.tier.not_in.limit3	650280	773978	1424258	-154568	-979	SELECT id, tier FROM PerfAuditAccount WHERE active = true AND tier NOT IN ('gold', 'silver') ORDER BY id ASC LIMIT 3
account.tier_gold.order_handle.limit3	357612	599264	956876	-652400	-4053	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND tier = 'gold' ORDER BY handle ASC, id ASC LIMIT 3
account.tier_gold.lower.order_handle.limit3	365603	750656	1116259	-570054	-3380	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 3
account.tier_gold.lower.handle_prefix.limit3	764161	982935	1747096	-201608	-1034	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) ASC, id ASC LIMIT 3
account.tier_gold.handle_prefix.limit3	641350	813493	1454843	-287899	-1651	SELECT id, handle FROM PerfAuditAccount WHERE active = true AND tier = 'gold' AND handle LIKE 'br%' ORDER BY handle ASC, id ASC LIMIT 3
account.count.active_true	163305	677729	841034	-149784	-1511	SELECT COUNT(*) FROM PerfAuditAccount WHERE active = true
account.describe	30999	15823	46822	9749	2629	DESCRIBE PerfAuditAccount
account.show_indexes	32454	12508	44962	-6590	-1278	SHOW INDEXES PerfAuditAccount
repeat.user.pk.order_only.asc.limit1.runs10	20673	198343	219017	-90935	-2933	SELECT id, name FROM PerfAuditUser ORDER BY id ASC LIMIT 1
repeat.user.pk.order_only.asc.limit2.runs10	20673	243872	264546	-194761	-4240	SELECT id, name FROM PerfAuditUser ORDER BY id ASC LIMIT 2
repeat.user.pk.order_only.asc.limit2.runs100	13818	233359	247177	-183611	-4262	SELECT id, name FROM PerfAuditUser ORDER BY id ASC LIMIT 2
repeat.user.name.lower.order_only.asc.limit3.runs10	23206	327374	350581	-379961	-5201	SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 3
repeat.user.name.lower.order_only.asc.limit3.runs100	14787	306991	321779	-363410	-5303	SELECT id, name FROM PerfAuditUser ORDER BY LOWER(name) ASC, id ASC LIMIT 3
repeat.user.grouped.age_count.limit10.runs10	23975	474424	498399	-353664	-4150	SELECT age, COUNT(*) FROM PerfAuditUser GROUP BY age ORDER BY age ASC LIMIT 10
repeat.user.grouped.age_count.limit10.runs100	14908	460869	475777	-341965	-4181	SELECT age, COUNT(*) FROM PerfAuditUser GROUP BY age ORDER BY age ASC LIMIT 10
repeat.user.age.order_only.asc.limit3.runs10	21829	444877	466706	N/A	N/A	SELECT id, age FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 3
repeat.user.distinct.age.order_only.asc.limit3.runs10	20729	554184	574914	N/A	N/A	SELECT DISTINCT age FROM PerfAuditUser ORDER BY age ASC LIMIT 3
repeat.user.case_where.order_id.limit3.runs10	154895	405866	560761	N/A	N/A	SELECT id, name FROM PerfAuditUser WHERE CASE WHEN age >= 30 THEN TRUE ELSE active END ORDER BY id ASC LIMIT 3
repeat.user.age_plus_rank.direct_order.asc.limit3.runs10	23019	492710	515730	N/A	N/A	SELECT id, age FROM PerfAuditUser ORDER BY age + rank ASC, id ASC LIMIT 3
repeat.user.grouped.age_count.no_order.runs10	21377	450283	471661	N/A	N/A	SELECT age, COUNT(*) FROM PerfAuditUser GROUP BY age
repeat.user.grouped.case_sum.having_alias.order.limit5.runs10	61991	750793	812784	N/A	N/A	SELECT age, SUM(CASE WHEN age > 30 THEN 1 ELSE 0 END) AS high_count FROM PerfAuditUser GROUP BY age HAVING high_count > 0 ORDER BY high_count DESC, age ASC LIMIT 5
repeat.account.active.lower.order_handle.asc.limit3.runs10	27875	355401	383276	N/A	N/A	SELECT id, handle FROM PerfAuditAccount WHERE active = true ORDER BY LOWER(handle) ASC, id ASC LIMIT 3
