 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         651878 ┊     26.91% ┊ export "canister_query query_ten_complex_fluent"
             53 ┊      0.00% ┊                       ⤷ code[3902]
             15 ┊      0.00% ┊                       ⤷ code[5494]
            777 ┊      0.03% ┊                   ⤷ code[521]
            735 ┊      0.03% ┊                   ⤷ code[547]
            244 ┊      0.01% ┊                   ⤷ code[2184]
             98 ┊      0.00% ┊                       ⤷ code[2689]
            154 ┊      0.01% ┊                   ⤷ code[2176]
            139 ┊      0.01% ┊                   ⤷ code[2243]
             30 ┊      0.00% ┊                   ⤷ code[4869]
         186328 ┊      7.69% ┊ [2 Unreachable Items]
