 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────
         419737 ┊     29.90% ┊ export "canister_query query"
            443 ┊      0.03% ┊                           ⤷ code[474]
             39 ┊      0.00% ┊                           ⤷ code[2573]
             30 ┊      0.00% ┊                           ⤷ code[2810]
          26254 ┊      1.87% ┊                       ⤷ code[5]
           2888 ┊      0.21% ┊                           ⤷ code[1245]
           2744 ┊      0.20% ┊                               ⤷ code[180]
           1585 ┊      0.11% ┊                                   ⤷ code[124]
             31 ┊      0.00% ┊                                   ⤷ code[2688]
           2886 ┊      0.21% ┊                           ⤷ code[1247]
           2742 ┊      0.20% ┊                               ⤷ code[181]
           1585 ┊      0.11% ┊                                   ⤷ code[123]
             31 ┊      0.00% ┊                                   ⤷ code[2687]
           1938 ┊      0.14% ┊                           ⤷ code[115]
         176350 ┊     12.56% ┊ [3 Unreachable Items]
