module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::session::sql::projection::labels	crates/icydb-core/src/db/session/sql/projection/labels.rs	80	3	8	2.67	2	2	1	4	5
db::session::sql::projection	crates/icydb-core/src/db/session/sql/projection/mod.rs	19	0	0	0.00	0	0	0	1	0
db::session::sql::projection::payload	crates/icydb-core/src/db/session/sql/projection/payload.rs	33	0	0	0.00	0	0	0	2	0
db::session::sql::projection::runtime	crates/icydb-core/src/db/session/sql/projection/runtime.rs	542	2	26	13.00	12	12	2	4	14
db::session::write	crates/icydb-core/src/db/session/write.rs	142	0	0	0.00	0	0	0	3	0
db::sql::identifier	crates/icydb-core/src/db/sql/identifier.rs	107	2	15	7.50	3	3	1	1	5
db::sql::lowering::aggregate	crates/icydb-core/src/db/sql/lowering/aggregate.rs	730	9	53	5.89	9	9	2	3	18
db::sql::lowering	crates/icydb-core/src/db/sql/lowering/mod.rs	256	6	21	3.50	0	0	1	2	6
db::sql::lowering::normalize	crates/icydb-core/src/db/sql/lowering/normalize.rs	240	5	13	2.60	4	4	2	1	9
db::sql::lowering::prepare	crates/icydb-core/src/db/sql/lowering/prepare.rs	172	5	24	4.80	0	0	1	1	5
db::sql::lowering::select	crates/icydb-core/src/db/sql/lowering/select.rs	434	10	28	2.80	14	14	2	4	24
db::sql	crates/icydb-core/src/db/sql/mod.rs	3	0	0	0.00	0	0	0	0	0
db::sql::parser::clauses	crates/icydb-core/src/db/sql/parser/clauses.rs	124	2	5	2.50	8	8	2	2	10
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	129	0	0	0.00	7	7	2	2	7
db::sql::parser::model	crates/icydb-core/src/db/sql/parser/model.rs	206	0	0	0.00	1	1	1	2	1
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection.rs	226	2	11	5.50	10	10	1	2	12
db::sql::parser::statement	crates/icydb-core/src/db/sql/parser/statement.rs	631	7	22	3.14	58	55	2	2	62
error	crates/icydb-core/src/error/mod.rs	1261	4	24	6.00	2	2	1	1	6
metrics	crates/icydb-core/src/metrics/mod.rs	6	0	0	0.00	0	0	0	0	0
metrics::sink	crates/icydb-core/src/metrics/sink.rs	408	7	31	4.43	2	2	2	2	9
metrics::state	crates/icydb-core/src/metrics/state.rs	376	0	0	0.00	2	2	1	0	2
model::entity	crates/icydb-core/src/model/entity.rs	62	0	0	0.00	0	0	0	1	0
model::field	crates/icydb-core/src/model/field.rs	313	3	24	8.00	1	1	1	2	4
model::index	crates/icydb-core/src/model/index.rs	353	7	25	3.57	6	5	2	1	12
model	crates/icydb-core/src/model/mod.rs	12	0	0	0.00	0	0	0	0	0
sanitize	crates/icydb-core/src/sanitize.rs	44	0	0	0.00	0	0	0	3	0
scalar_registry	crates/icydb-core/src/scalar_registry.rs	158	0	0	0.00	0	0	0	0	0
serialize::cbor	crates/icydb-core/src/serialize/cbor.rs	102	1	3	3.00	1	1	1	1	2
serialize	crates/icydb-core/src/serialize/mod.rs	76	2	6	3.00	0	0	1	0	2
testing::entity_tags	crates/icydb-core/src/testing/entity_tags.rs	111	0	0	0.00	0	0	0	1	0
testing::fixtures	crates/icydb-core/src/testing/fixtures.rs	321	0	0	0.00	0	0	0	1	0
testing	crates/icydb-core/src/testing/mod.rs	28	0	0	0.00	0	0	0	0	0
traits::atomic	crates/icydb-core/src/traits/atomic.rs	9	0	0	0.00	0	0	0	0	0
traits::macros	crates/icydb-core/src/traits/macros.rs	16	0	0	0.00	0	0	0	0	0
traits	crates/icydb-core/src/traits/mod.rs	437	4	8	2.00	5	5	1	4	9
traits::numeric_value	crates/icydb-core/src/traits/numeric_value.rs	67	0	0	0.00	0	0	0	1	0
traits::visitor	crates/icydb-core/src/traits/visitor.rs	136	0	0	0.00	6	6	1	1	6
types::account	crates/icydb-core/src/types/account.rs	235	1	2	2.00	11	11	2	3	12
types::blob	crates/icydb-core/src/types/blob.rs	81	1	2	2.00	0	0	1	2	1
types::date	crates/icydb-core/src/types/date.rs	187	3	6	2.00	2	2	1	3	5
types::decimal	crates/icydb-core/src/types/decimal.rs	860	4	18	4.50	66	65	2	2	69
types::duration	crates/icydb-core/src/types/duration.rs	287	2	7	3.50	8	8	1	3	10
types::float::float32	crates/icydb-core/src/types/float/float32.rs	153	1	2	2.00	6	6	1	3	7
types::float::float64	crates/icydb-core/src/types/float/float64.rs	141	1	2	2.00	4	4	1	3	5
types::float	crates/icydb-core/src/types/float/mod.rs	4	0	0	0.00	0	0	0	0	0
types::identity::entity_tag	crates/icydb-core/src/types/identity/entity_tag.rs	13	0	0	0.00	0	0	0	0	0
types::identity::generate_key	crates/icydb-core/src/types/identity/generate_key.rs	3	0	0	0.00	0	0	0	0	0
types::identity::id	crates/icydb-core/src/types/identity/id.rs	205	0	0	0.00	0	0	0	3	0
types::identity	crates/icydb-core/src/types/identity/mod.rs	8	0	0	0.00	0	0	0	0	0
types::identity::projection	crates/icydb-core/src/types/identity/projection.rs	47	0	0	0.00	0	0	0	2	0
