Concept	Module	Role
Continuation	db::executor::continuation::scalar	consumer
Continuation	db::executor::executable_plan	plumbing
Continuation	db::executor::explain::descriptor	consumer
Continuation	db::executor::kernel	plumbing
Continuation	db::executor::order	consumer
Continuation	db::executor::pipeline::contracts	plumbing
Continuation	db::executor::pipeline::contracts::execution::erased	plumbing
Continuation	db::executor::pipeline::contracts::execution::inputs	consumer
Continuation	db::executor::pipeline::contracts::grouped::route_stage::projection	consumer
Continuation	db::executor::pipeline::entrypoints	plumbing
Continuation	db::executor::pipeline::entrypoints::scalar	consumer
Continuation	db::executor::pipeline::entrypoints::scalar::hints	plumbing
Continuation	db::executor::pipeline::grouped_runtime	plumbing
Continuation	db::executor::pipeline::grouped_runtime::route_stage	consumer
Continuation	db::executor::pipeline::grouped_runtime::runtime	plumbing
Continuation	db::executor::pipeline::operators::post_access::contracts::stats	plumbing
Continuation	db::executor::pipeline::operators::post_access::coordinator::runtime::guard_filter	consumer
Continuation	db::executor::pipeline::operators::post_access::terminal::order	consumer
Continuation	db::executor::pipeline::operators::reducer::runner	plumbing
Continuation	db::executor::pipeline::operators::terminal::runtime	consumer
Continuation	db::executor::pipeline::orchestrator	plumbing
Continuation	db::executor::pipeline::orchestrator::strategy::grouping	plumbing
Continuation	db::executor::pipeline::runtime::fast_path::strategy	plumbing
Continuation	db::executor::route::contracts	plumbing
Continuation	db::executor::route::contracts::execution::plan	plumbing
Continuation	db::executor::route::hints::load	consumer
Continuation	db::executor::route::mode	plumbing
Continuation	db::executor::route::planner	plumbing
Continuation	db::executor::route::planner::entrypoints	plumbing
Continuation	db::executor::route::planner::execution	plumbing
Continuation	db::executor::route::planner::feasibility	consumer
Continuation	db::executor::scan::fast_stream_route	plumbing
Continuation	db::executor::scan::index_range_limit	plumbing
Continuation	db::executor::scan::secondary_index	plumbing
Continuation	db::executor::stream::access::bindings	plumbing
Continuation	db::executor::stream::access::physical	plumbing
Continuation	db::executor::stream::access::scan	plumbing
Continuation	db::executor::stream::access::traversal	plumbing
Continuation	db::executor::terminal::bytes	plumbing
Continuation	db::executor::terminal::page	consumer
Continuation	db::executor::traversal	plumbing
Continuation	db::executor::window	consumer
Continuation	db::index	plumbing
Continuation	db::index::envelope	plumbing
Continuation	db::index::range	plumbing
Continuation	db::index::scan	consumer
Continuation	db::index::store	plumbing
Continuation	db::predicate::coercion	plumbing
Continuation	db::predicate::fingerprint	plumbing
Continuation	db::query::explain::execution	plumbing
Continuation	db::query::fingerprint	plumbing
Continuation	db::query::fingerprint::hash_parts	plumbing
Continuation	db::query::fingerprint::projection_hash	plumbing
Continuation	db::query::fingerprint::shape_signature	plumbing
Continuation	db::query::fluent::load::builder	plumbing
Continuation	db::query::fluent::load::pagination	plumbing
Continuation	db::query::intent::errors	plumbing
Continuation	db::query::plan	plumbing
Continuation	db::query::plan::continuation	plumbing
Continuation	db::query::plan::expr	plumbing
Continuation	db::query::plan::model	plumbing
Continuation	db::query::plan::planner::compare	plumbing
Continuation	db::query::plan::planner::prefix	plumbing
Continuation	db::query::plan::semantics::group_having	plumbing
Continuation	db::query::plan::semantics::logical	plumbing
Continuation	db::query::plan::validate::errors	plumbing
Continuation	db::query::plan::validate::grouped::cursor	plumbing
Continuation	db::response::grouped	plumbing
Continuation	db::response::paged	plumbing
Continuation	db::session::query	plumbing
Continuation	error	plumbing
PredicateCoercion	db	plumbing
PredicateCoercion	db::access::path	plumbing
PredicateCoercion	db::access::validate	consumer
PredicateCoercion	db::cursor::boundary	consumer
PredicateCoercion	db::data::persisted_row	consumer
PredicateCoercion	db::executor::aggregate::field	plumbing
PredicateCoercion	db::executor::aggregate::numeric	plumbing
PredicateCoercion	db::executor::aggregate::runtime::grouped_distinct::aggregate	plumbing
PredicateCoercion	db::executor::mutation::save_validation	consumer
PredicateCoercion	db::executor::projection::eval::operators::binary::comparison	consumer
PredicateCoercion	db::executor::projection::eval::scalar	consumer
PredicateCoercion	db::numeric	plumbing
PredicateCoercion	db::predicate	plumbing
PredicateCoercion	db::predicate::capability	consumer
PredicateCoercion	db::predicate::coercion	consumer
PredicateCoercion	db::predicate::encoding	consumer
PredicateCoercion	db::predicate::fingerprint	consumer
PredicateCoercion	db::predicate::model	plumbing
PredicateCoercion	db::predicate::normalize	consumer
PredicateCoercion	db::predicate::parser	consumer
PredicateCoercion	db::predicate::resolved	plumbing
PredicateCoercion	db::predicate::runtime	consumer
PredicateCoercion	db::predicate::semantics	consumer
PredicateCoercion	db::predicate::simplify	plumbing
PredicateCoercion	db::query::builder::field	consumer
PredicateCoercion	db::query::explain::plan	plumbing
PredicateCoercion	db::query::fingerprint::projection_hash	plumbing
PredicateCoercion	db::query::intent	plumbing
PredicateCoercion	db::query::intent::query	consumer
PredicateCoercion	db::query::plan::access_choice	consumer
PredicateCoercion	db::query::plan::key_item_match	consumer
PredicateCoercion	db::query::plan::planner::compare	consumer
PredicateCoercion	db::query::plan::planner::index_select	consumer
PredicateCoercion	db::query::plan::planner::prefix	consumer
PredicateCoercion	db::query::plan::planner::range	consumer
PredicateCoercion	db::query::plan::validate::grouped::policy::rules	plumbing
PredicateCoercion	db::scalar_expr	consumer
PredicateCoercion	db::schema	consumer
PredicateCoercion	db::schema::errors	plumbing
